# ARISTAS POR LECTURA (D.29, D.37, D.53) DE LA VUELTA 71 para las 20 de cap_07, cap_10, cap_11, cap_12, cap_13 y cap_14: las
# que la senial NO levanta en ningun sentido en el barrido de hoy (.v71ext/vecinos_<id>.json, poblacion 479, 410 grafo mas 69
# bandejas). Las madres del grafo no se barrieron hoy, asi que "ningun sentido" quiere decir: el hijo no las levanta, y si la
# madre es de las 20, ella tampoco. Las que la senial SI levanta van como CONTINUA en .v71ext/veredictos_listos.txt y no aqui
# (las dos de definir_entorno_grupo_clientes_proveedores_competidores).
# Formato, el de .v68ext/aristas_lectura.txt: SOSTENGO o NO SOSTENGO | madre | hijo | paso de la madre y paso del hijo | linea del libro | razon
# Se cablean en la vuelta que inserte estas 20, en el acto de insertar el hijo, con la madre ya en el grafo:
# python forja.py arista --madre --hijo --paso --razon. Lo DISCUTIBLE se marco al escribir la fila.
SOSTENGO | planificar_tres_pasos_demanda_estado_brecha | examinar_demanda_entorno_dos_marcos_temporales | madre paso 2, hijo paso 1 | cap_07 L19, L29 | D.37: el titulo de la madre dice cuantos pasos tiene, tres, y los nombra (la demanda del entorno, el estado presente y lo que hay que hacer para conciliarlos; L19, Step 1 is to establish projected need or demand). Su paso 2 nombra en una linea el paso 1, establecer la demanda proyectada del entorno, y el hijo lo despliega en siete pasos que la cabeza no tiene: los dos marcos temporales, las tres preguntas del cliente, la diferencia y no rebajar la demanda (L29 a L31, bajo el encabezado STEP 1 de L23). La senial no lo levanta en ningun sentido (DISCUTIBLE D71.12).
SOSTENGO | planificar_tres_pasos_demanda_estado_brecha | determinar_estado_presente_capacidades_proyectos_merma | madre paso 3, hijo paso 1 | cap_07 L19, L35 | D.37: el paso 3 de la madre nombra en una linea el paso 2 del plan, establecer el estado presente (L19, Step 2 is to establish your present status), y el hijo lo despliega en siete pasos que la cabeza no tiene: listar capacidades y proyectos, la misma moneda que la demanda, el plazo de salida y la merma (L35, bajo el encabezado STEP 2 de L33). La senial no lo levanta en ningun sentido.
SOSTENGO | planificar_tres_pasos_demanda_estado_brecha | cerrar_brecha_dos_preguntas_estrategia | madre paso 5, hijo paso 1 | cap_07 L19, L39 | D.37: el paso 5 de la madre nombra en una linea el paso 3 del plan, comparar y conciliar los pasos 1 y 2 (L19, Step 3 is to compare and reconcile steps 1 and 2), y el hijo lo despliega en siete pasos que la cabeza no tiene: las tareas nuevas o modificadas, las dos preguntas por separado, la decision con su efecto y su momento, y la estrategia (L39, bajo el encabezado STEP 3 de L37). La senial no lo levanta en ningun sentido.
SOSTENGO | elegir_modo_control_motivacion_factor_cua | escalonar_complejidad_puesto_empleado_nuevo | madre pasos 4 y 5, hijo pasos 1 y 2 | cap_11 L61, L63 | D.29: el hijo aplica el modelo de la madre, y lo dice el libro al abrir su tramo (L63, Let's apply our model to the work of a new employee). Su paso 1 lee la motivacion del empleado nuevo con la variable de la madre (interes propio) y su paso 2 le da el factor CUA bajo del cuadrante de la madre (paso 5, interes propio con CUA bajo). Trae lo que la madre no tiene: la trayectoria de puesto, la promocion interna y la cultura que aprende (pasos 3 a 9). La senial no lo levanta en ningun sentido: ninguno de los dos levanta a nadie.
NO SOSTENGO | planificar_tres_pasos_demanda_estado_brecha | definir_entorno_grupo_clientes_proveedores_competidores | madre paso 2 | cap_07 L25 | El hijo vive bajo el encabezado STEP 1 (L23) y su condicion nombra el paso 1 del plan, pero no es la parte que la cabeza nombra: contesta su propia pregunta del libro (L25, Just what is your environment?), y su producto, que es el entorno definido, lo usa examinar_demanda_entorno_dos_marcos_temporales, que es la parte de la cabeza (fila de arriba) y su hija (CONTINUA en .v71ext/veredictos_listos.txt, L29). Declararla haria a la cabeza madre y abuela a la vez del paso 1. SANO (DISCUTIBLE D71.10).
NO SOSTENGO | planificar_tres_pasos_demanda_estado_brecha | examinar_entorno_expectativas_tecnologia_proveedores_grupos | madre paso 2 | cap_07 L27 | Tambien bajo STEP 1, pero su madre directa es definir_entorno_grupo_clientes_proveedores_competidores (CONTINUA, L27, What should you look for when you examine your environment), y no se cablea la abuela (D67.4). SANO.
NO SOSTENGO | elegir_fabricar_pedido_pronostico | planificar_tres_pasos_demanda_estado_brecha | hijo paso 1 | cap_07 L17, L19 | L17 recuerda el sistema de pronosticar la demanda y fabricar contra pronostico (As we learned in Chapter 2) y L19 manda un razonamiento analogo; el paso 1 de la candidata nombra la fabrica en una linea y no usa el producto de la vecina del grafo, que elige entre fabricar contra pedido o contra pronostico. Nombrar no es procedimentar. SANO.
NO SOSTENGO | planificar_tres_pasos_demanda_estado_brecha | contestar_dos_preguntas_direccion_objetivos | madre pasos 3 y 5 | cap_07 L69, L71 | L69 dice que la direccion por objetivos es el plan aplicado al trabajo diario y se concentra en sus pasos 2 y 3, pero la condicion de la vecina es montar el sistema y contestar sus propias dos preguntas (L71 a L75); ninguno de sus cinco pasos usa el estado presente ni la conciliacion de la cabeza. SANO.
NO SOSTENGO | planificar_tres_pasos_demanda_estado_brecha | fijar_horizonte_ventana_replanificacion | ninguno | cap_07 L61 | La vecina contesta su propia pregunta del libro sobre el ejercicio de planificacion (L61, How far ahead should the planners look?), con su propio tramo y sin usar los tres pasos. Hermanos del mismo capitulo. SANO.
NO SOSTENGO | contestar_dos_preguntas_direccion_objetivos | fijar_periodo_direccion_objetivos_retroalimentacion, fijar_meta_direccion_objetivos_mitad_probabilidad | madre pasos 2 a 5 | cap_07 L79, cap_12 L75 | Las dos vecinas son aspectos de la direccion por objetivos, pero cada una contesta su propia pregunta del libro (L79, Upon what time period should an MBO system focus?; cap_12 L75, donde la direccion por objetivos es el ejemplo de un entorno que fomenta estirarse) y ninguna usa el objetivo ni los resultados clave que produce la cabeza. Es la figura de D67.3. SANO.
