# Vuelta 66, TAREA 3.1: la relectura de fidelidad ENTERA (D.30, D.58) de los 22 de cap_04, paso a paso contra
# fuentes/grove_high_output/cap_04.md leido entero en esta vuelta. Marca: T transcripcion, P puente (entero o de
# clausula; la clausula reescrita CUENTA como P, ACTA 62 62.5). Separador: barra vertical. Las citas del libro van
# recortadas con puntos suspensivos; la linea entera la localiza .v66ext/citas.sh, con su salida en .v66ext/citas_fidelidad.txt.
# id | paso | marca | linea | lo que decide la marca
reunir_informacion_gerencial_vias_variadas | 1 | T | L145 | I read standard reports and memos
reunir_informacion_gerencial_vias_variadas | 2 | T | L145 | but also get information ad hoc. La glosa del circuito reglado define, no manda
reunir_informacion_gerencial_vias_variadas | 3 | T | L145 | I talk to people inside and outside the company, managers at other firms or financial analysts or members of the press
reunir_informacion_gerencial_vias_variadas | 4 | T | L145 | Customer complaints, both external and internal, are also a very important source of information
reunir_informacion_gerencial_vias_variadas | 5 | T | L145 | To cut myself off from the casual complaints of people in that group would be a mistake
reunir_informacion_gerencial_vias_variadas | 6 | T | L145 | This is something we should remember, apart from whether we do as they ask. Leo remember como quedarse con lo util que traen (DISCUTIBLE D66.5)
reunir_informacion_gerencial_vias_variadas | 7 | T | L147 | the information most useful ... comes from quick, often casual verbal exchanges ... much faster than anything written down
reunir_informacion_gerencial_vias_variadas | 8 | T | L147 | the more timely the information, the more valuable it is
escalonar_fuentes_informacion_gerencial | 1 | T | L153 | you have to understand the way it comes to you. There is a hierarchy involved
escalonar_fuentes_informacion_gerencial | 2 | T | L153 | Verbal sources are the most valuable, but ... sketchy, incomplete, and sometimes inaccurate, like a newspaper headline
escalonar_fuentes_informacion_gerencial | 3 | T | L153 | So you then read the newspaper article itself to find out who, what, where, why, and how
escalonar_fuentes_informacion_gerencial | 4 | T | L153 | reiteration and perspective, which can be compared to reading a news magazine or even a book
escalonar_fuentes_informacion_gerencial | 5 | T | L153 | Each level in your information hierarchy is important, and you can rely on none alone
escalonar_fuentes_informacion_gerencial | 6 | T | L153 | you do not ... want to wait a full week after an event to find out about it
escalonar_fuentes_informacion_gerencial | 7 | T | L153 | Your information sources should complement one another, and also be redundant because that gives you a way to verify
programar_visita_area_observar_despachar | 1 | T | L155 | visit a particular place in the company and observe what ... going on there
programar_visita_area_observar_despachar | 2 | T | L155 | A certain stop-and-start dynamics occurs when the visitor sits down ... often takes a half hour
programar_visita_area_observar_despachar | 3 | T | L155 | he can simply stop, cover it, and be on his way
programar_visita_area_observar_despachar | 4 | T | L155 | Ditto for the subordinate when he initiates conversation
programar_visita_area_observar_despachar | 5 | T | L157 | the awkwardness ... we combat this problem by using programmed visits meant to accomplish formal tasks
