contar_cuatro_historias_propias_ver_hueco_intencion|1|T|L43|Storytelling is a great way to develop both self-awareness and relational awareness
contar_cuatro_historias_propias_ver_hueco_intencion|2|T|L45|First, think of your Radical Candor story. Can you remember a time when you were screwing up, someone told you, and even though what they told you stung a bit ... it helped you in the long run?
contar_cuatro_historias_propias_ver_hueco_intencion|3|D|L45|If you tell your team your story and what it means to you, it will be a thousand times more powerful than Kim's story ... um every third word. DUDA, inclinada a T: el condicional pasa a imperativo, pero es el condicional del ejercicio que L43 abre (Here is an exercise), no un modal de posibilidad (perhaps, might) como el de D71.9 y D73.3; y L55 dice share them with their teams
contar_cuatro_historias_propias_ver_hueco_intencion|4|T|L45|When you show a little vulnerability ... two important things at once. One, ... self-awareness and humility. Two, ... you genuinely appreciate criticism. This will make it easier to solicit feedback ... the more feedback you solicit, the more self-aware you become
contar_cuatro_historias_propias_ver_hueco_intencion|5|T|L47|The next three stories (your Obnoxious Aggression, Manipulative Insincerity, and Ruinous Empathy stories) will help you and your team see when you've fallen down in that goal of being kind: they will help with relational awareness
contar_cuatro_historias_propias_ver_hueco_intencion|6|T|L49|Think about your Obnoxious Aggression story. Was there a time when you offered criticism, just trying to be helpful ...? Or maybe ... you were really angry and perhaps your intentions weren't so pure
contar_cuatro_historias_propias_ver_hueco_intencion|7|T|L49|Dig deep here. What's a moment you cringe looking back on, and wonder how you could possibly have behaved so obnoxiously?
contar_cuatro_historias_propias_ver_hueco_intencion|8|D|L49|Your story is by definition better than the story Kim tells about the rude clutter sites email ... because it's yours. DUDA, inclinada a T: el Cuenta la tuya y no la del libro de esta historia sale de la comparacion y no de una prohibicion escrita; la prohibicion literal (Don't tell Kim's Bob story) es de L51 y de la otra historia
contar_cuatro_historias_propias_ver_hueco_intencion|9|T|L49|It will help you understand the impact you have on others. It will also help your team understand you and how to communicate with you so that they can help you see when you're behaving like a jerk even though you don't mean to
contar_cuatro_historias_propias_ver_hueco_intencion|10|T|L51|Next, think about your Ruinous Empathy story. When did you fail to give some feedback, just to be nice, only to see the person suffer as a result of failure to correct bad behavior?
contar_cuatro_historias_propias_ver_hueco_intencion|11|T|L51|Don't tell Kim's Bob story from Chapter Two, tell yours. When were you trying to be nice, only to realize you'd been inadvertently cruel?
contar_cuatro_historias_propias_ver_hueco_intencion|12|T|L51|The regret you feel recalling the incident and the vulnerability you show when you tell the incident will build your relational awareness
contar_cuatro_historias_propias_ver_hueco_intencion|13|T|L53|Finally, and hardest of all, think of your Manipulative Insincerity story. When did you fail to tell a person directly about a problem, but you instead talked to others? Or ... told a person their work was good while undermining it behind their back?
contar_cuatro_historias_propias_ver_hueco_intencion|14|T|L53|It's really hard to see yourself as backstabbing, passive aggressive, or political, but we are all guilty of these behaviors from time to time
contar_cuatro_historias_propias_ver_hueco_intencion|15|D|L55|When people unpack their own stories, and share them with their teams, they start to become more aware of the gap between their intentions and the impact they're having on others. DUDA, inclinada a T: la misma figura que el paso 3, la descripcion del efecto puesta de orden, y el paso conserva el porque el texto dice
contar_cuatro_historias_propias_ver_hueco_intencion|16|T|L55|Awareness is the first step toward change. You can make your impact align with your intentions
contar_cuatro_historias_propias_ver_hueco_intencion|17|T|L57|Every person is different, so ... what may feel helpful to one person may feel unbearably painful to another person. You've got to adjust how you talk so that you can be clear and kind to the other person without feeling like a chameleon
dar_elogio_disciplina_igual_critica|1|T|L251|When you're leading a team, criticism is like your brake and praise is like your accelerator. ... you'll feel safer pressing your accelerator if you know your brakes work
dar_elogio_disciplina_igual_critica|2|T|L267|SOMETIMES PEOPLE ARE reluctant to praise others because it's much easier to look smart when criticizing them. The goal of guidance is to help others succeed, not to prove how smart you are
dar_elogio_disciplina_igual_critica|3|T|L269|Other times people use praise as a weapon ... throw the person who succeeded under a busload of peers who now feel resentful. They will not get a repetition of the success
dar_elogio_disciplina_igual_critica|4|T|L269|Good praise is specific and sincere, and inspires others rather than making odious comparisons
dar_elogio_disciplina_igual_critica|5|T|L271|The focus on praise requires real discipline. After you've done the hard and painful work of soliciting criticism, it's tempting to want to give some of your own. And you've probably been holding in some criticism for a while
dar_elogio_disciplina_igual_critica|6|T|L271|And very often the thing that has been bothering you has been bothering you for so long that it's all you can see or feel. ... If all you can see is the negative, you're probably not in the right mind-set for giving criticism
dar_elogio_disciplina_igual_critica|7|T|L271|So focus on the good stuff. Praise last
dar_elogio_disciplina_igual_critica|8|P|L273|Also, praise helps people focus on their strengths and on doing more work that they enjoy and less of what they hate. PUENTE de clausula: el paso abre con lo que el elogio consigue y la critica no, y L273 no compara con la critica: dice Also, praise helps. La clausula y la critica no la pone el paso, no el libro
dar_elogio_disciplina_igual_critica|9|T|L273|Sometimes, you have to make sure a person gets to a level of proficiency that a flaw doesn't become fatal
dar_elogio_disciplina_igual_critica|10|T|L273|But you get more bang for the buck out of focusing on strengths than weaknesses, out of maximizing the upside rather than minimizing the downside
dar_elogio_disciplina_igual_critica|11|T|L273|Praise reveals what works and makes it usable, repeatable. Giving praise doesn't just make people feel good, it's practical. Praise shows how a strength can lead to success ... shows that you care personally, and it also challenges directly as it encourages people to keep doing more of what's great
dar_elogio_disciplina_igual_critica|12|T|L277|In workshops, we ask one question (borrowed from Karen Sipprell, Kim's colleague at Apple): How much time do you spend making sure you have the facts straight before giving a team member praise? The answer, typically, is none at all
dar_elogio_disciplina_igual_critica|13|T|L279|When you're vague with praise, it is just as likely to leave a person feeling patronized. And either way, vague positivity has very little impact in the long term. An empty great job! can sound condescending and be demoralizing
dar_elogio_disciplina_igual_critica|14|T|L279|Specific praise helps the person and the team understand what success looks like. It gives ambitious team members a model to follow
dar_elogio_disciplina_igual_critica|15|T|L279|Remember, the guidelines for giving Radically Candid feedback work for both praise and criticism: do it humbly, helpfully, immediately; praise in public, criticize in private; don't give guidance about personality attributes
dar_elogio_disciplina_igual_critica|16|T|L283|Pair up with a colleague and share one specific piece of praise with each other
dar_elogio_disciplina_igual_critica|17|T|L283|We've found that people walk away from this exercise feeling seen, connected, and inspired. We've heard things like, I've been doing X, Y, Z for years and didn't know anyone noticed! leading to more engagement when they are back at the office
dar_elogio_disciplina_igual_critica|18|T|L285|It's actually not hard to find things to praise each other for, even if you just met someone in a workshop. It becomes easier ... when you set an intention to do so, get curious, and then say something really specific
dar_elogio_disciplina_igual_critica|19|T|L285|For example: Thanks for asking that question about being late for meetings; ... it helped move the conversation forward, or Thanks for listening to me when I was talking about my daughter; I really needed to talk about it
dar_elogio_disciplina_igual_critica|20|T|L287|While the primary purpose of praise is to show people what direction we're headed in/what good looks like, this short exercise is ... a fast, easy way to build the skill of giving voice to the things you appreciate
medir_critica_respuesta_oyente_brujula|1|T|L291|Radical Candor gets measured not at your mouth but at the other person's ear. ... How can you put that idea into practice?
medir_critica_respuesta_oyente_brujula|2|T|L293|People often hoped there were some magic words ... Unfortunately, there are no words that serve simultaneously as a scalpel and emotional Novocain
medir_critica_respuesta_oyente_brujula|3|T|L293|Sometimes Radical Candor will sting a little bit. When it does, it's your job to care personally. More often, Radical Candor won't sting because it won't have been heard. Then it's your job to challenge directly
medir_critica_respuesta_oyente_brujula|4|T|L295|You can, however, use the Radical Candor framework like a compass, to gauge your criticism and guide conversations to a better place
medir_critica_respuesta_oyente_brujula|5|T|L295|Pay close attention to the other person's response to what you've said, and decide whether they need you to show you care personally, or to be more direct and clear in your challenge
medir_critica_respuesta_oyente_brujula|6|T|L297|The way you listen is more important than the way you talk
medir_critica_respuesta_oyente_brujula|7|T|L297|When offering Compassionate Candor, start gently and then gauge the other person's response. Listen to what they say, observe their body language, look them in the eye, and ask yourself, How do they seem to be feeling? Have they heard me?
medir_critica_respuesta_oyente_brujula|8|D|L297|(You cannot do this if you are on your phone or on your computer.) DUDA, inclinada a T: desde el telefono ni desde el ordenador puede leerse como el canal de la conversacion, y on your phone es estar mirando el telefono; es una traduccion floja, no una clausula que el libro no ponga
medir_critica_respuesta_oyente_brujula|9|T|L299|If the person you're talking to seems sad, this is your cue to take a moment to show you care personally
medir_critica_respuesta_oyente_brujula|10|T|L299|This is hard because when confronted with someone who seems upset, it's our natural inclination to back off ... to move in the wrong direction on the Challenge Directly dimension ... Instead, now is your time to show that you care
medir_critica_respuesta_oyente_brujula|11|T|L301|Using the framework like a compass can help keep you out of the Ruinous Empathy trap, reminding you that you can go in the right direction on the Care Personally dimension without going in the wrong direction on the Challenge Directly dimension
medir_critica_respuesta_oyente_brujula|12|T|L303|Similarly, when you get an angry response from the person you're talking to, it's your cue to attend to the emotions in the room, to show that you care personally
medir_critica_respuesta_oyente_brujula|13|T|L303|This is hard because when the other person is angry, it's natural to get mad yourself. Nothing will move you down on the Care Personally axis faster than anger
medir_critica_respuesta_oyente_brujula|14|T|L305|One way to show you care when confronted with negative emotions is to name the emotion you're seeing. It seems like I've upset you/pissed you off/frustrated you. That's not what I wanted to do. I'm trying to help you. How can I say this in a better way?
medir_critica_respuesta_oyente_brujula|15|T|L305|Don't use my phrasing, use your own words
medir_critica_respuesta_oyente_brujula|16|T|L305|Often just naming an emotion can help a person feel seen. Our tendency in the face of negative emotions is to pretend they aren't happening. Ignoring emotions makes the other person feel invisible or invalidated
medir_critica_respuesta_oyente_brujula|17|T|L307|Remember: you might misunderstand the emotion you're seeing. For instance, if Kim starts to cry it's likely because she's furious, not sad. So be humble when naming the emotion
medir_critica_respuesta_oyente_brujula|18|T|L307|And whatever you do, don't judge the emotion or tell the person they shouldn't be feeling it. Eliminate don't take it personally from your vocabulary!
medir_critica_respuesta_oyente_brujula|19|T|L307|When all else fails, a simple response to negative emotions is to ask, How can I help?
medir_critica_respuesta_oyente_brujula|20|T|L309|Other times ... they just don't hear you. They are defensive or oblivious or hopelessly optimistic or overconfident or distracted ... This is your cue to move to the right on the Challenge Directly dimension
medir_critica_respuesta_oyente_brujula|21|T|L309|Being extremely clear can feel harsh, and most people are rightly reluctant to be harsh. This is where the mantra It's not mean, it's clear can help
medir_critica_respuesta_oyente_brujula|22|T|L311|One thing that helps in these moments is to focus on the long term. If this person is making a mistake that is going to hurt them over time, the only way for them to fix it is if they are aware of it, even if that awareness hurts a bit in the moment
medir_critica_respuesta_oyente_brujula|23|T|L313|Sometimes when someone is shutting down it's because they disagree with what you're saying but don't want to say so. Your first goal is to get them to tell you if they disagree with what you're saying, and if so, why
medir_critica_respuesta_oyente_brujula|24|T|L313|There's a risk that ... the other person will come back at you aggressively and tell you why you're a terrible person, cataloging all your flaws. If this happens, acknowledge that you are not perfect and say that you'd like to discuss these problems in a separate conversation. But right now you want to talk about the issue at hand
medir_critica_respuesta_oyente_brujula|25|T|L313|A useful mantra for giving criticism is listen-challenge-commit. Don't skip over giving them an opportunity to challenge you and go too quickly to asking for a commitment to change. The goal is to encourage the person to engage ... (especially when they disagree)
medir_critica_respuesta_oyente_brujula|26|T|L315|Another thing that can help when you've told someone something and they just aren't hearing you is to ask, Just to make sure we're on the same page, can you tell me what you just heard?
medir_critica_respuesta_oyente_brujula|27|T|L315|Other times stating what you are feeling can help: I don't feel like I'm being heard
medir_critica_respuesta_oyente_brujula|28|T|L315|Or you can try saying, May I be much more direct with you?
medir_critica_respuesta_oyente_brujula|29|T|L319|ONE MISTAKE THAT people often make is to draw attention to consequences for noncompliance with the feedback before they've given the person an opportunity to disagree with it. Many go too quickly to your job is at risk if you don't fix this. That might be true, but ... that feels like an unfair consequence
medir_critica_respuesta_oyente_brujula|30|T|L319|You're trying to engage the person's intrinsic desire to improve and grow in their career. Going too quickly to extrinsic punishments can harm that intrinsic motivation ... If I'm already on the way out, or if I've been convicted without a trial, why should I even try to fix it?
