# Vuelta 74, TAREA 3: la relectura de fidelidad (D.30) de los tres nodos de cap_13 de scott_radical_candor que d084 nombra
# (contar_cuatro_historias_propias_ver_hueco_intencion, dar_elogio_disciplina_igual_critica, medir_critica_respuesta_oyente_brujula),
# que VIVEN EN EL GRAFO: paso a paso contra fuentes/scott_radical_candor/cap_13.md, leido entero en esta vuelta. Formato de
# .v73ext/fidelidad.tsv. Marca: T transcripcion, P puente (entero o de clausula; la clausula reescrita CUENTA como P, ACTA 62 62.5;
# la posibilidad convertida en orden tambien, D71.9 y D73.3). La nota abre con el arranque literal de la cita, que localiza
# .v74ext/citas.sh. Lo marcado DISCUTIBLE se marco al escribir la fila, antes de ninguna comprobacion. NINGUN NODO SE CORRIGE:
# un P se trae con su texto, su linea y la correccion propuesta (encargo TAREA 3.2).
# id | paso | marca | linea | lo que decide la marca
contar_cuatro_historias_propias_ver_hueco_intencion | 1 | T | L43 | Storytelling is a great way to develop both self-awareness and relational awareness ... Y el por que funciona que el paso anuncia es el why it works de la misma linea, que el libro pone antes del ejercicio
contar_cuatro_historias_propias_ver_hueco_intencion | 2 | T | L45 | First, think of your Radical Candor story ... Can you remember a time when you were screwing up, someone told you, y el resto del paso es la misma pregunta
contar_cuatro_historias_propias_ver_hueco_intencion | 3 | T | L45 | If you tell your team your story and what it means to you ... El libro lo pone en condicional y el paso lo manda: es la premisa del propio ejercicio, que es contar historias al equipo (L43, y el share them with their teams de L55). DISCUTIBLE D74.4
contar_cuatro_historias_propias_ver_hueco_intencion | 4 | T | L45 | you are doing two important things at once ... One, self-awareness and humility, Two, genuinely appreciate criticism, y This will make it easier to solicit feedback, en la misma linea
contar_cuatro_historias_propias_ver_hueco_intencion | 5 | T | L47 | The next three stories ... Las tres agrupadas, your Obnoxious Aggression, Manipulative Insincerity, and Ruinous Empathy stories, y para que sirven: relational awareness
contar_cuatro_historias_propias_ver_hueco_intencion | 6 | T | L49 | Think about your Obnoxious Aggression story ... Las dos preguntas del paso son las dos del libro
contar_cuatro_historias_propias_ver_hueco_intencion | 7 | T | L49 | Dig deep here ... What’s a moment you cringe looking back on, en la misma linea
contar_cuatro_historias_propias_ver_hueco_intencion | 8 | T | L49 | Your story is by definition better than the story Kim tells ... El libro compara y el paso manda contar la propia; la orden la escribe el libro para la historia siguiente en L51, Don’t tell Kim’s Bob story. DISCUTIBLE D74.5
contar_cuatro_historias_propias_ver_hueco_intencion | 9 | T | L49 | It will help you understand the impact you have on others ... Y lo del equipo es el It will also help your team understand you de la misma linea
contar_cuatro_historias_propias_ver_hueco_intencion | 10 | T | L51 | Next, think about your Ruinous Empathy story ... La pregunta del paso es la del libro
contar_cuatro_historias_propias_ver_hueco_intencion | 11 | T | L51 | Don’t tell Kim’s Bob story from Chapter Two, tell yours ... Y la vez en que intentabas ser amable es el When were you trying to be nice de la misma linea
