# Fase ciega de la 78: mis clases de los pares que mi barrido levanta entre capitulos distintos de la tanda o con un extremo
# fuera, escritas AL RECOGERLO, con los pasos de los dos delante (.v78aud/pasos_20.txt y .v78aud/pasos_fuera.txt, pasos_ciego.py,
# R6) y los capitulos leidos enteros. Vara 6.1 y solo esa. Formato: a|b|clase|madre|lectura.
acoger_inspectores_externos_fuente_aprendizaje|tomar_accion_deliberada_pausar_vocalizar_gesticular|SANO||cap_10 y cap_11: la accion deliberada nace en la critica a la que se invito a los inspectores (cap_10 L37, cap_11 L15), pero es otro procedimiento: pausar, vocalizar y senialar antes de actuar (L75) contra usar a los inspectores para difundir, aprender y documentar (L45 y L49). Ningun paso comun
acoger_inspectores_externos_fuente_aprendizaje|resistir_dar_solucion_clasificar_decision_urgencia|SANO||cap_10 y cap_08: los inspectores como aliados o fuente segun el area, contra el espacio de decision del equipo segun la urgencia; ajenos
acoger_inspectores_externos_fuente_aprendizaje|declarar_intencion_reemplazar_peticion_permiso|SANO||cap_10 y cap_07: dos mecanismos de CONTROL del libro (cap_07 L59, cap_10 L47), con procedimientos distintos: el trato a los de fuera contra el lenguaje de intencion hacia arriba
acoger_inspectores_externos_fuente_aprendizaje|reforzar_principios_guia_lenguaje_prueba_conocimiento|SANO||cap_10 y cap_14: ajenos: los inspectores contra los principios guia en premios y evaluaciones
acoger_inspectores_externos_fuente_aprendizaje|seguir_frustrado_preguntar_implantacion_ideas|SANO||cap_10 y cap_03: ajenos
acoger_inspectores_externos_fuente_aprendizaje|recorrer_organizacion_escuchar_plantilla|SANO||cap_10 y cap_03: recorrer usa inspecciones propias con linterna (L15), acoger usa a los inspectores de fuera (L45); la palabra inspeccion es comun y el procedimiento no
aplicar_ejercicio_codigo_genetico_control|resistir_dar_solucion_clasificar_decision_urgencia|SANO||cap_06 y cap_08: las dos tratan decisiones, pero el ejercicio mueve la autoridad de decision un nivel abajo reescribiendo la norma (L101 a L111), y resistir abre un espacio de decision del equipo segun la urgencia (L107 a L121); ninguno usa el producto del otro
ceder_control_reforzar_competencia_claridad|encargar_meta_especifica_dejar_libre_metodo|SANO||cap_01 y cap_02: el mapa del libro (control como puente, competencia y claridad como pilares, L97) contra el encargo con meta y sin metodo de L33 y L49; encargar no usa ningun producto de ceder, y ceder no nombra el encargo
declarar_intencion_reemplazar_peticion_permiso|resistir_dar_solucion_clasificar_decision_urgencia|SANO||cap_07 y cap_08: cap_08 L25 cita el I intend to como lo que el capitan intentaba dejar correr, pero resistir no usa el producto de declarar: uno cambia la frase del subordinado y la respuesta Very well (L55, L73 a L93), el otro crea el espacio y clasifica la decision por urgencia (L107 a L121)
declarar_intencion_reemplazar_peticion_permiso|informar_cierre_jornada_conservar_propiedad_trabajo|SANO||cap_07 y cap_04: las dos dejan la propiedad en el subordinado con lo que dice hacia arriba, y ahi acaba el solape: la intencion declarada antes de actuar con su Very well, contra el reporte de cierre con estado, hito y pendiente (cap_04 L35). Procedimiento fuera del solape en los dos lados (6.1)
declarar_intencion_reemplazar_peticion_permiso|reforzar_principios_guia_lenguaje_prueba_conocimiento|SANO||cap_07 y cap_14: las dos cambian el lenguaje, pero uno es la frase de intencion y el otro el vocabulario de los principios en premios y evaluaciones; ajenos
encargar_meta_especifica_dejar_libre_metodo|recorrer_organizacion_escuchar_plantilla|SANO||cap_02 y cap_03: el encargo del jefe al capitan contra lo primero que hace el capitan al llegar; recorrer no usa la meta ni el encargo (su condicion es tomar el mando de una organizacion que no conoces)
informar_cierre_jornada_conservar_propiedad_trabajo|seguir_frustrado_preguntar_implantacion_ideas|SANO||cap_04 y cap_03: ajenos: el guion del cierre de jornada contra seguir al frustrado y preguntar idea por idea
reforzar_principios_guia_lenguaje_prueba_conocimiento|tomar_accion_deliberada_pausar_vocalizar_gesticular|SANO||cap_14 y cap_11: ajenos: principios en premios y la prueba de las tres personas contra pausar, vocalizar y senialar
reforzar_principios_guia_lenguaje_prueba_conocimiento|resistir_dar_solucion_clasificar_decision_urgencia|SANO||cap_14 y cap_08: ajenos
resistir_dar_solucion_clasificar_decision_urgencia|tomar_accion_deliberada_pausar_vocalizar_gesticular|SANO||cap_08 y cap_11: las dos piden una pausa, y no es la misma: la del equipo antes de decidir (L107) contra la del operador antes de ejecutar una accion fisica o una firma (L75, L95). Procedimiento fuera del solape en los dos lados
cambiar_forma_trabajar_conservar_plantilla|escuchar_entender_critica_dominar_defensa|SANO||Marquet cap_02 contra Scott: conservar la plantilla y cambiar como interactua, contra escuchar la critica tres minutos sin interrumpir; ningun paso comun. La senial es paso_contra_nodo y no hay procedimiento compartido
informar_cierre_jornada_conservar_propiedad_trabajo|operar_modelo_gente_destreza_minima|SANO||Marquet cap_04 contra Gerber: el reporte de cierre contra la regla 2 del prototipo; ajenos
cuantificar_impacto_innovacion_6_pasos|informar_cierre_jornada_conservar_propiedad_trabajo|SANO||Gerber contra Marquet cap_04: seis conteos de una innovacion contra el reporte de cierre; ajenos
dictar_ritmo_crecimiento_preguntas_escritas|informar_cierre_jornada_conservar_propiedad_trabajo|SANO||Gerber contra Marquet cap_04: el plan escrito de crecimiento contra el reporte de cierre; ajenos
informar_cierre_jornada_conservar_propiedad_trabajo|interrogar_negocio_cinco_preguntas|SANO||Marquet cap_04 contra Gerber: la pregunta de Gerber de que la gente trabaje sin tu interferencia toca el tema, pero no es el reporte de cierre ni lo pide; ajenos
informar_cierre_jornada_conservar_propiedad_trabajo|usar_banco_nueve_preguntas_entrevista|SANO||Marquet cap_04 contra Grove: el reporte de cierre contra las preguntas de una entrevista; ajenos
interrogar_negocio_cinco_preguntas|seguir_frustrado_preguntar_implantacion_ideas|SANO||Gerber contra Marquet cap_03: cinco preguntas que el dueno se hace sobre su negocio contra preguntar al subordinado como implanto cada idea; la forma pregunta es comun y el procedimiento no
dictar_ritmo_crecimiento_preguntas_escritas|seguir_frustrado_preguntar_implantacion_ideas|SANO||Gerber contra Marquet cap_03: ajenos
pedir_critica_anonima_curso_entrenamiento_dictado|seguir_frustrado_preguntar_implantacion_ideas|SANO||Grove contra Marquet cap_03: la critica anonima tras un curso contra la conversacion con el frustrado; el curso de Tomahawk que nunca se dio (L27) es un dato del relato, no un curso dictado
cambiar_saludo_cliente_dos_ramas|seguir_frustrado_preguntar_implantacion_ideas|SANO||Gerber contra Marquet cap_03: ajenos
