# ARISTAS POR LECTURA (D.29, D.37, D.53) DE LA VUELTA 78 para las 20 fichas de Marquet (.v78ext/lista_barrido.txt), leidas con los
# pasos de los dos delante (python .v64aud/pasos.py <a> <b>, las 20 en .v78ext/pasos_20.txt) y mirando tambien madres que ya viven
# en el grafo, las de Zhuo y Scott las primeras (.v78ext/grafo_zhuo_scott.txt, y sus pasos en .v78ext/pasos_grafo.txt). Formato, el de
# .v76ext/aristas_lectura.txt: SOSTENGO o NO SOSTENGO | madre | hijo | paso de la madre y paso del hijo | linea del libro | razon. Se
# cablean en la vuelta que inserte estas 20, en el acto de insertar el hijo, con la madre ya en el grafo: python forja.py arista
# --madre --hijo --paso --razon. Lo DISCUTIBLE se marco al escribir la fila.
# LA VARA DE ESTA SEDE, y se dice porque aqui casi todas las filas son NO SOSTENGO: la arista es de DESPLIEGUE, no de calendario (ACTA M2 del
# frente de Marquet, seccion 3.5, sobre el esquema: nodos_previos son madres declaradas, no lo que va antes); y una enumeracion de
# mecanismos que no es nodo no es cabeza de nada (ACTA M3 del frente, M3.6.a, sobre la lista de la Parte II de cap_05 L115 a L129). Una
# madre es un nodo cuyo PASO nombra en una linea lo que el hijo despliega; si ningun paso de la madre nombra al hijo, no hay arista
# (la figura de D76.15, que la ACTA 75 sostuvo en el juego). Y la puerta contraria, que la ACTA 75 seccion 75.4 abrio en la
# contratacion de Gerber: si el hijo PARTE DEL PRODUCTO de la madre y el libro los encadena con palabras, es continuacion aunque ningun
# paso de la madre lo nombre.
#
# 1. ceder_control_reforzar_competencia_claridad, la unica ficha que nombra el puente y los pilares del libro (cap_01 L97):
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | aplicar_ejercicio_codigo_genetico_control | madre paso 3 | cap_01 L97; cap_06 L117 | El paso 3 de la madre nombra la operacion, ceder el control reteniendo la responsabilidad, y no nombra ningun mecanismo; el hijo es uno de los mecanismos que el libro clasifica bajo CONTROL (FIND THE GENETIC CODE AND REWRITE IT is a mechanism for CONTROL, L117), y la lista de esos mecanismos (cap_05 L115 a L129) es un indice que no es nodo (M3.6.a). Un ejemplar de la categoria no es el despliegue del paso que nombra la categoria (DISCUTIBLE D78.11).
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | declarar_intencion_reemplazar_peticion_permiso | madre paso 3 | cap_01 L97; cap_07 L59 | La misma figura: I INTEND TO was an incredibly powerful mechanism for CONTROL (L59), un mecanismo de la categoria que el paso 3 nombra, y ese paso no lo nombra (DISCUTIBLE D78.11).
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | resistir_dar_solucion_clasificar_decision_urgencia | madre paso 3 | cap_01 L97; cap_08 L107 | La misma figura: RESIST THE URGE TO PROVIDE SOLUTIONS is a mechanism for CONTROL (L107) (DISCUTIBLE D78.11).
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | eliminar_seguimiento_descendente_responsabilizar_dueno | madre paso 3 | cap_01 L97; cap_09 L77 | La misma figura: ELIMINATING TOP-DOWN MONITORING SYSTEMS is a mechanism for CONTROL (L77) (DISCUTIBLE D78.11).
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | acoger_inspectores_externos_fuente_aprendizaje | madre paso 3 | cap_01 L97; cap_10 L47 | La misma figura: EMBRACE THE INSPECTORS is a mechanism for CONTROL, organizational control (L47) (DISCUTIBLE D78.11).
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | tomar_accion_deliberada_pausar_vocalizar_gesticular | madre paso 5 | cap_01 L97; cap_10 L79; cap_11 L85 | El paso 5 de la madre cuenta dos cosas y las nombra, la competencia tecnica y la claridad organizativa, pero son los dos pilares, categorias y no nodos: la cabeza solo cuenta y nombra (D68.7). El hijo es un mecanismo para COMPETENCE (L85), y la lista de los de la Parte III (cap_10 L79 a L89, The chapters in this part will focus on the mechanisms we employed to strengthen technical competence) tampoco es nodo (DISCUTIBLE D78.12).
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | identificar_temas_formacion_tarjetas_decision | madre paso 5 | cap_01 L97; cap_12 L143 | La misma figura: WE LEARN (EVERYWHERE, ALL THE TIME) is a mechanism for COMPETENCE (L143) (DISCUTIBLE D78.12).
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | repetir_mensaje_invariable_diario_reunion_evento | madre paso 5 | cap_01 L97; cap_13 L117 | La misma figura: CONTINUALLY AND CONSISTENTLY REPEAT THE MESSAGE is a mechanism for COMPETENCE (L117) (DISCUTIBLE D78.12).
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | reforzar_principios_guia_lenguaje_prueba_conocimiento | madre paso 5 | cap_01 L97; cap_14 L97 | La misma figura con el otro pilar: USE GUIDING PRINCIPLES FOR DECISION CRITERIA is a mechanism for CLARITY (L97) (DISCUTIBLE D78.12).
#
# 2. Los de cap_03, que el libro encadena en el mismo relevo de mando (el paseo de L11 y L15, la reunion de L17 a L21, Dave en L23 a
