# Vuelta 78, TAREA 2.1: la relectura de fidelidad ENTERA (D.30, D.58) de las 20 fichas de la bandeja de Marquet
# (.v78ext/bandeja.txt), paso a paso contra su capitulo de fuentes/marquet_turn_the_ship/, leido entero en esta vuelta. Orden de lectura:
# cap_03 primero (el de mas fichas y el de d150, encargo TAREA 4), despues cap_01, cap_02, cap_04, cap_06 a cap_14. Marca: T transcripcion,
# P puente (entero o de clausula; la clausula reescrita CUENTA como P, ACTA 62 62.5). Separador: barra vertical. Formato de
# .v76ext/fidelidad.tsv: la columna de linea admite cap_NN:LNN cuando el paso cita un capitulo que no es el de la UNIDAD DE ORIGEN de su
# ficha; en esta vuelta ningun paso lo necesita. Las citas van recortadas; la linea la localiza .v78ext/citas.sh, con su salida en
# .v78ext/citas_fidelidad.txt. Lo marcado DISCUTIBLE se marco al escribir la fila, antes de ninguna comprobacion. Los P se marcan sobre el
# texto de la ficha tal como estaba al abrir la vuelta, y se corrigen despues en la ficha (TAREA 2.3).
# id | paso | marca | linea | lo que decide la marca
recorrer_organizacion_escuchar_plantilla | 1 | T | L11 | When was the last time you walked around your organization to hear about the good, the bad, and the ugly
recorrer_organizacion_escuchar_plantilla | 2 | T | L15 | According to procedure, I was to spend the next two weeks reviewing everything on the ship, y la lista entera hasta I ignored that
recorrer_organizacion_escuchar_plantilla | 3 | T | L15 | Instead, I spent my time walking around the ship talking to people
recorrer_organizacion_escuchar_plantilla | 4 | T | L15 | I also set up a series of walkabouts during which each chief or officer would walk me around his spaces
recorrer_organizacion_escuchar_plantilla | 5 | T | L15 | In order to do these inspections properly
recorrer_organizacion_escuchar_plantilla | 6 | T | L15 | but the flashlights were pitiful. Broken, dead batteries, dim bulbs; el como dato y no como examen lee el It wasn’t supposed to be a test de la misma linea y el I figured this was what Commodore Kenny was talking about, que toma las linternas como senal (DISCUTIBLE D78.4)
recorrer_organizacion_escuchar_plantilla | 7 | T | L15 | I got myself a super Maglite that took four D-cell batteries; y en la misma linea I carried that flashlight around with me everywhere, y Soon, others started carrying flashlights that actually worked as well
observar_reunion_rutinaria_senales_plantilla | 1 | T | L17 | I attended a department head meeting, a routine review of maintenance issues
observar_reunion_rutinaria_senales_plantilla | 2 | T | L21 | but instead I observed the people in the room. La razon es la de la misma linea: I probably should have paid attention to the technical issues because this missile system wasn’t on the Olympia
observar_reunion_rutinaria_senales_plantilla | 3 | T | L19 | the attendees wandered in late
observar_reunion_rutinaria_senales_plantilla | 4 | T | L19 | the captain stayed away until everyone was assembled. Then he was invited
observar_reunion_rutinaria_senales_plantilla | 5 | T | L19 | The meeting started late
