8	13	NO	cabecera del capitulo, subtitulo y entrada: dice de que va el capitulo, no manda hacer nada
15	15	NO	rotulo de seccion SOLICITING IMPROMPTU GUIDANCE, sin cuerpo propio
17	53	SI	Embrace the discomfort entero: seis consejos rotulados uno a uno, de la excepcion a criticar en privado hasta medir la guia que recibes
55	63	SI	ORANGE BOX, organizar un sistema para sugerencias y quejas, con la mecanica de la caja de Dearing
65	71	SI	MANAGEMENT FIX-IT WEEKS, el registro publico de averias de gestion, el voto, el reparto y la semana
73	75	NO	rotulo GIVING IMPROMPTU GUIDANCE mas su preambulo: dice por que va segundo, no trae acto
77	95	SI	Be humble, con SBI, la columna de la izquierda y la humildad ontologica
97	113	SI	Be helpful, con declarar la intencion, mostrar en vez de contar, buscar la ayuda y la guia como regalo
115	135	SI	Give feedback immediately, con los dos o tres minutos, la holgura, el no guardarlo y los agujeros negros
137	153	SI	In person, con la jerarquia de modos, el Reply All y la oficina remota
155	163	SI	Praise in public criticize in private, con sus tres matices
165	177	SI	Don't personalize, con el error fundamental de atribucion y la frase que se retira
179	203	SI	GAUGE YOUR IMPROMPTU GUIDANCE, el marco junto a la mesa y las pegatinas de dos colores
205	221	SI	BEING RADICALLY CANDID WITH YOUR BOSS, con la cautela, el permiso y Listen Challenge Commit
223	225	NO	rotulo GENDER AND GUIDANCE y su entrada: declara el alcance del apartado, sin acto
227	249	NO	por que es mas dificil para hombres que dirigen mujeres: diagnostico e historias. Su unico imperativo, no contenerse, lo ejecuta la pieza de 291 a 293
251	283	NO	la trampa de la abrasividad: diagnostico, datos y el caso de Jessica y Steve. No manda hacer nada
285	289	NO	What can you do, entrada de las cuatro piezas que siguen
291	293	SI	Men don't pull punches with women: preguntarselo a ella, explicar el marco y pedirle que mida
295	299	SI	Women demand criticism: las tres frases, la pausa, contar hasta seis
301	313	SI	Men and women, cuando te parece que una mujer es demasiado agresiva: cambiar de genero, ser mas concreto, no usar lenguaje de genero, no decir nunca se mas agradable
315	329	SI	Si eres una mujer a la que le dicen que es abrasiva: las cuatro reglas generales mas no descartar a los hombres
331	361	SI	FORMAL PERFORMANCE REVIEWS: nueve consejos rotulados para entregar una evaluacion formal
363	367	SI	PREVENT BACKSTABBING: no escuchar a nadie hablar de un tercero y la conversacion a tres en vivo
369	381	SI	PEER GUIDANCE: la ballena y la metedura de pata, y la medicion entre pares
383	425	SI	SPEAKING TRUTH TO POWER: las reuniones de nivel salteado, sus diez reglas y sus cinco preguntas frecuentes
427	429	NO	cierre del capitulo, las dos preguntas de vuelta a los principios: postura
431	433	NO	marcador del capitulo siguiente, el 7 y TEAM
