cap_07 EN EL ORDEN DEL LIBRO, por la primera linea que cada candidato declara
   1. L65    recorrer_rueda_hacer_cosas_equipo                pasos=12  lineas=[65, 71, 73]
   2. L91    escuchar_callado_equipo_tranquilizar_incomodo    pasos=11  lineas=[91, 101, 107]
   3. L113   escuchar_ruidoso_opinion_fuerte_pedir_agujeros   pasos=13  lineas=[113, 115, 117]
   4. L131   crear_cultura_escucha_equipo                     pasos=17  lineas=[131, 133]
   5. L177   crear_espacio_seguro_madurar_ideas_nuevas        pasos=14  lineas=[177, 181, 185]
   6. L197   explicar_idea_facil_comprender_oyente            pasos=13  lineas=[197, 203]
   7. L225   centrar_debate_ideas_fuera_egos                  pasos=10  lineas=[225, 227, 229]
   8. L231   crear_obligacion_disentir_equipo                 pasos= 5  lineas=[231, 233]
   9. L235   parar_debate_emocion_agotamiento                 pasos= 5  lineas=[235, 237]
  10. L245   fijar_fecha_cierre_debate_equipo                 pasos=11  lineas=[245, 247, 257]
  11. L259   repartir_decision_cercanos_hechos                pasos=11  lineas=[259, 261, 283]
  12. L291   pedir_hechos_decision_evitar_recomendaciones     pasos= 5  lineas=[291, 293]
  13. L303   persuadir_emocion_oyente_no_propia               pasos=11  lineas=[303, 309, 313]
  14. L313   establecer_credibilidad_pericia_humildad         pasos= 9  lineas=[313]
  15. L359   compartir_logica_mostrar_razonamiento            pasos= 6  lineas=[359, 363, 365]
  16. L367   minimizar_impuesto_colaboracion_equipo           pasos= 4  lineas=[367, 371, 373]
  17. L373   mantener_manos_trabajo_real_equipo               pasos= 8  lineas=[373, 381, 383]
  18. L373   proteger_tiempo_equipo_jefe                      pasos= 9  lineas=[373, 375, 377]
  19. L373   reservar_calendario_tiempo_ejecutar              pasos= 4  lineas=[373, 385, 387]
  20. L401   cuidarse_agotamiento_centro_rueda                pasos= 7  lineas=[401, 409, 411]
