id                                             unidad   lineas    pasos  aristas
bloquear_tiempo_pensar_calendario              ?        L?-?          6  prev=[] sig=[]
compartir_logica_mostrar_razonamiento          cap_07   L359-365      6  prev=[] sig=[]
cuidarse_agotamiento_centro_rueda              cap_07   L409-419      7  prev=['aprender_resultados_vencer_dos_presiones'] sig=[]
establecer_credibilidad_pericia_humildad       cap_07   L349-357      9  prev=[] sig=[]
fijar_fecha_cierre_debate_equipo               cap_07   L245-257     11  prev=[] sig=[]
mantener_manos_trabajo_real_equipo             cap_07   L381-383      8  prev=['minimizar_impuesto_colaboracion_equipo'] sig=[]
minimizar_impuesto_colaboracion_equipo         cap_07   L367-373      4  prev=[] sig=['proteger_tiempo_equipo_jefe', 'mantener_manos_trabajo_real_equipo', 'reservar_calendario_tiempo_ejecutar']
parar_debate_emocion_agotamiento               cap_07   L235-237      5  prev=[] sig=[]
pedir_hechos_decision_evitar_recomendaciones   cap_07   L291-293      5  prev=[] sig=[]
persuadir_emocion_oyente_no_propia             cap_07   L303-347     11  prev=[] sig=[]
proteger_tiempo_equipo_jefe                    cap_07   L375-379      9  prev=['minimizar_impuesto_colaboracion_equipo'] sig=[]
repartir_decision_cercanos_hechos              cap_07   L259-289     11  prev=[] sig=[]
reservar_calendario_tiempo_ejecutar            cap_07   L385-387      4  prev=['minimizar_impuesto_colaboracion_equipo'] sig=[]
