# Fase ciega de la 71: mi clase de cada par que el barrido levanta entre capitulos distintos de la tanda o con un extremo fuera
# de ella, leida al recoger el barrido con los pasos de los dos delante (.v71aud/pasos_cap*.txt, .v71aud/pasos_fuera_*.txt,
# todos por pasos_ciego.py, R6), por la vara 6.1 y solo esa. Formato: A|B|clase|madre|lectura
cerrar_brecha_dos_preguntas_estrategia|preguntar_seguimiento_hallar_huecos|SANO||dos preguntas para cerrar la brecha de un plan contra la bateria de preguntas de seguimiento de la reunion a solas de Scott; el barrido la levanta por paso_contra_nodo sobre el verbo preguntar, y ningun paso hace lo del otro
cerrar_brecha_dos_preguntas_estrategia|responder_tres_preguntas_vocacion_directiva|SANO||brecha del plan contra las tres preguntas de Zhuo sobre si la gestion es tu camino; comparten solo la forma de pregunta
cerrar_brecha_dos_preguntas_estrategia|preparar_preguntas_entrevista_antemano|SANO||brecha del plan contra preparar las preguntas de una entrevista (Zhuo); comparten solo la forma de pregunta
cerrar_brecha_dos_preguntas_estrategia|archivar_indicadores_resolver_problemas|SANO||decidir que hacer con la brecha contra guardar los indicadores para repasarlos cuando algo falle; ningun paso compartido
cerrar_brecha_dos_preguntas_estrategia|cortar_discusion_libre_momento_justo|SANO||decidir la estrategia contra el momento de pasar de la discusion a la decision en una reunion; comparten el verbo decidir y nada de procedimiento
contestar_dos_preguntas_direccion_objetivos|zanjar_seis_preguntas_decision_adelantado|SANO||las dos preguntas del sistema de objetivos contra las seis preguntas de una decision, los dos de Grove; ninguna pregunta es la misma
contestar_dos_preguntas_direccion_objetivos|anunciar_decision_inesperada_reconvocar_reunion|SANO||sistema de objetivos contra anunciar una decision inesperada y reconvocar
contestar_dos_preguntas_direccion_objetivos|vencer_sindrome_grupo_pares_autoconfianza|SANO||sistema de objetivos contra la autoconfianza del grupo de pares
definir_entorno_grupo_clientes_proveedores_competidores|anunciar_decision_inesperada_reconvocar_reunion|SANO||definir el entorno de tu grupo contra anunciar una decision al grupo; comparten la palabra grupo
definir_entorno_grupo_clientes_proveedores_competidores|vencer_sindrome_grupo_pares_autoconfianza|SANO||definir el entorno de tu grupo contra el sindrome del grupo de pares; comparten la palabra grupo
fijar_horizonte_ventana_replanificacion|anunciar_decision_inesperada_reconvocar_reunion|SANO||horizonte y frecuencia de la planificacion contra anunciar una decision y reconvocar; comparten dejar tiempo antes de volver sobre algo (L61 contra el reconvocar de cap_06) y nada de procedimiento
fijar_periodo_direccion_objetivos_retroalimentacion|fijar_meta_direccion_objetivos_mitad_probabilidad|SANO||dos parametros distintos del mismo sistema de objetivos: el periodo por la retroalimentacion (cap_07 L79) contra la altura de la meta al cincuenta por ciento (cap_12 L75); ningun paso compartido y ninguno es la condicion del otro. El barrido lo levanta por familia_id (direccion_objetivos)
planificar_tres_pasos_demanda_estado_brecha|entregar_evaluacion_desempeno_tres_claves|SANO||planificar en tres pasos contra entregar la revision con sus tres claves; comparten la cuenta tres en el titulo
diagnosticar_capacidad_motivacion_prueba_vida|decidir_amistad_subordinado_prueba_revision_dificil|SANO||dos pruebas mentales de Grove para dos preguntas distintas: si el que no rinde no puede o no quiere (la vida en juego, cap_12 L17) contra si hacerte amigo de un subordinado (la revision dura imaginada, cap_13 L77); comparten la forma de prueba imaginada y ningun paso
preparar_resena_mixta_hoja_trabajo|usar_banco_nueve_preguntas_entrevista|SANO||preparar la revision mixta en la hoja de trabajo contra el banco de preguntas de entrevista de cap_15 (en la bandeja, fuera de esta tanda); comparten fortalezas y debilidades como tema y ningun paso
