a	b	clase	madre	lectura
construir_estrategia_gente_cuatro_componentes	aplicar_cinco_pasos_proceso_contratacion	CONTINUA	construir_estrategia_gente_cuatro_componentes	cap_18: el hijo es el primer medio de comunicar la idea (L245) y sus pasos 10 y 11 entregan y repasan el Manual de Operaciones, el Objetivo Estrategico, la Organizational Strategy y el Position Contract (L267 y L269), que son los componentes que la madre construye (sus pasos 3 a 5, L119). DUDA: la madre solo nombra esos componentes en una linea; si nombrar no basta para que el hijo continue su trabajo, es SANO
aplicar_cinco_pasos_proceso_contratacion	fingir_prototipo_cinco_mil_replicas	SANO		cap_18 y cap_11: la contratacion comunica la idea a quien entra (L249 a L271) y el prototipo pone las seis reglas del juego de la franquicia (L35 a L57); ningun paso de uno usa el producto del otro
aplicar_seis_pasos_sistema_venta	medir_sistema_venta_trece_indicadores_benchmark	CONTINUA	aplicar_seis_pasos_sistema_venta	cap_19: la condicion del hijo es el sistema de venta ya operando, producto de la madre (L141 a L153), y sus trece indicadores miden los Benchmarks de ese mismo proceso (L303: you will be able to tell just how predictable it is through the use of an Information System; L307: to interact with the Soft System in our example)
distinguir_tres_tipos_sistemas_negocio	aplicar_seis_pasos_sistema_venta	SANO		cap_19: VEN es un Soft System (L137), un ejemplar de la clase que TIP nombra en su paso 3, no la clase; TIP clasifica y VEN vende, sin paso comun
cambiar_saludo_cliente_dos_ramas	cuantificar_impacto_innovacion_6_pasos	CONTINUA	cambiar_saludo_cliente_dos_ramas	cap_12: los pasos 2 y 3 del hijo cuentan antes y despues de cambiar las palabras del saludo (L95: by changing the words you use to greet an incoming customer), que es el producto de la madre (L51 a L57): el hijo cuantifica la innovacion que la madre pone. DUDA: la condicion del hijo es cualquier innovacion y el saludo es el ejemplo del libro; leido asi, es SANO con un ejemplo compartido
cambiar_saludo_cliente_dos_ramas	probar_traje_azul_seis_semanas	SANO		cap_12: dos innovaciones hermanas del mismo tramo (palabras y ropa, L33), sin paso comun
cambiar_saludo_cliente_dos_ramas	dictar_ritmo_crecimiento_preguntas_escritas	SANO		cap_12 y cap_07: comparten la forma pregunta; el saludo al cliente y las preguntas del plan de crecimiento no tienen paso comun
cambiar_saludo_cliente_dos_ramas	operar_modelo_gente_destreza_minima	SANO		cap_12 y cap_11: comparten la forma pregunta (L91 y L93 contra L51); sin paso comun
cambiar_saludo_cliente_dos_ramas	responder_primer_aviso_renuncia_subordinado	SANO		de fuera, Grove cap_15: preguntar al cliente al entrar y escuchar al subordinado que se va comparten solo la forma pregunta y respuesta
cambiar_saludo_cliente_dos_ramas	entregar_evaluacion_desempeno_tres_claves	SANO		de fuera, Grove cap_14: el saludo y la entrega de la evaluacion no comparten procedimiento
