# ARISTAS POR LECTURA (D.29, D.53) DE LA VUELTA 66 para los 22 de cap_04: las que la senial NO levanta en ningun
# sentido en el barrido de hoy (.v66ext/vecinos_<id>.json, poblacion 479, 368 grafo mas 111 bandejas).
# Las que la senial SI levanta van como CONTINUA en .v66ext/veredictos_listos.txt y no aqui.
# Formato, el de .v64ext/aristas_lectura.txt: SOSTENGO o NO SOSTENGO | madre | hijo | paso de la madre y paso del hijo | linea del libro | razon
# Se cablean en el acto de insertar el hijo, con la madre ya en el grafo: python forja.py arista --madre --hijo --paso --razon.
SOSTENGO | construir_flujo_produccion_paso_limitante | identificar_paso_limitante_jornada_desfases | madre paso 5, hijo paso 2 | cap_04 L267 | d072, cobrada. El paso 2 del hijo, identifica primero tu paso limitante preguntandote cual es el huevo de tu trabajo, nombra en una linea el procedimiento que la madre despliega (fija el paso limitante, paso 5, y escalona los demas con su desfase, paso 9), y el libro remite a el con el huevo del desayuno de cap_02 (cap_04 L267, what is the egg in our work; cap_02 L23, pin down the step in the flow). El paso 4 del hijo, crea desfases, es el paso 9 de la madre. El hijo lo aplica a la jornada del mando y anade lo que la madre no tiene: buscar lo que ocurre en un calendario absoluto y mover lo flexible alrededor (pasos 3 a 5). Medido hoy otra vez: el hijo no levanta a la madre (.v66ext/vecinos_identificar_paso_limitante_jornada_desfases.json), y la madre ya esta en el grafo.
SOSTENGO | delegar_tarea_base_comun_seguimiento | supervisar_tarea_delegada_etapa_menor_valor | madre paso 7, hijo paso 1 | cap_04 L253 | El paso 7 de la madre nombra en una linea el seguimiento de la tarea delegada como la unica via practica de asegurar el resultado (L249, monitoring the delegated task is the only practical way for you to ensure a result); el hijo lo despliega en nueve pasos, donde, cada cuanto y hasta que detalle (L253 a L255, Monitoring the results of delegation resembles the monitoring used in quality assurance). La senial no lo levanta en ningun sentido: la madre no levanta ningun vecino.
SOSTENGO | delegar_tarea_base_comun_seguimiento | supervisar_decision_delegada_preguntas_concretas | madre paso 7, hijo paso 2 | cap_04 L257 | El mismo paso 7 de la madre, desplegado ahora sobre la decision delegada: el hijo supervisa el proceso de decision del subordinado con preguntas bastante concretas en la reunion de revision (L257, How is this best done? By monitoring their decision-making process). La senial no lo levanta en ningun sentido.
SOSTENGO | transmitir_objetivos_prioridades_preferencias | delegar_tarea_base_comun_seguimiento | madre paso 3, hijo paso 2 | cap_04 L159 | El paso 2 del hijo exige que quien delega y quien recibe compartan una base comun de informacion y de ideas operativas sobre como abordar los problemas (L245); la madre es el procedimiento que la construye, comunicar objetivos, prioridades y preferencias en lo que tocan la manera de abordar las tareas (paso 3), y el libro ata los dos en L159: transmitting objectives and preferred approaches constitutes a key to successful delegation. El hijo usa el producto de la madre, como en el ejemplar de D.29. La senial no lo levanta en ningun sentido (DISCUTIBLE D66.10).
SOSTENGO | variar_frecuencia_inspeccion_nivel_calidad | supervisar_tarea_delegada_etapa_menor_valor | madre paso 2, hijo paso 4 | cap_04 L253 | El segundo principio de aseguramiento de la calidad que el hijo aplica al seguimiento (L253, A second principle applies to the frequency with which you check your subordinates work. A variable approach should be employed) es el de la madre, variar cada cuanto inspeccionas segun el nivel de calidad (madre pasos 2 a 4, cap_03 L143), y cap_03 L155 lo anuncia con su nombre: when a manager digs deeply into a specific activity under his jurisdiction, he is applying the principle of variable inspection. El hijo lo aplica a la tarea delegada y anade la madurez relativa a la tarea como vara (pasos 5 a 7). Misma figura que la arista de detectar_arreglar_fallo_etapa_menor_valor a este hijo, adjudicada CONTINUA en la ACTA 61 61.5. La senial no lo levanta en ningun sentido (DISCUTIBLE D66.10).
SOSTENGO | identificar_paso_limitante_jornada_desfases | usar_calendario_herramienta_planificacion_produccion | madre paso 4, hijo paso 6 | cap_04 L275 | El paso 6 del hijo programa el trabajo que no es critico en tiempo entre los pasos limitantes de la jornada (L275, between those limiting steps in the day), que son el producto de la madre (L267, create offsets and schedule my other work around this limiting step). El hijo anade el calendario como medio del pronostico, su uso activo y el llenar los huecos (pasos 1 a 7). La senial no lo levanta en ningun sentido.
SOSTENGO | agrupar_tareas_semejantes_aprovechar_preparacion | agrupar_interrupciones_subordinados_reuniones_regulares | madre paso 3, hijo paso 1 | cap_04 L317 | El paso 1 del hijo usa el principio de la tanda que la madre despliega (L317 lo nombra y lo define: the production principle of batching, that is, handling a group of similar chores at one time; madre L269 a L271) y lo aplica a las interrupciones de los subordinados, con las reuniones de personal y de uno a uno como sitio y su regularidad como condicion (pasos 2 a 5), que la madre no tiene. La senial no lo levanta en ningun sentido.
SOSTENGO | buscar_regularidad_bloques_iguales_trabajo_mando | canalizar_interrupciones_cartel_hora_oficina | madre paso 1, hijo paso 8 | cap_04 L323 | El paso 8 del hijo nombra en una linea el principio que la madre despliega, ir hacia la regularidad (L323, To make something regular that was once irregular is a fundamental production principle, and that is how you should try to handle the interruptions), y el hijo lo aplica a las interrupciones con el cartel en la puerta y la hora de oficina (pasos 1 a 7), que la madre no tiene. La senial no lo levanta en ningun sentido (DISCUTIBLE D66.11).
SOSTENGO | representar_actividad_caja_negra_ventanas | buscar_regularidad_bloques_iguales_trabajo_mando | madre paso 8, hijo paso 5 | cap_04 L305 | El paso 5 del hijo busca las fuentes de problemas futuros de prioridad alta abriendo ventanas en la caja negra de tu organizacion (L305, cutting windows into the black box of our organization), que es el procedimiento que la madre despliega (paso 8, recorta ventanas en la caja; cap_03 L77). El hijo lo usa para la regularidad, alisar la carga y coordinar los bloques de tiempo, que la madre no tiene. La senial no lo levanta en ningun sentido (DISCUTIBLE D66.11).
NO SOSTENGO | detectar_arreglar_fallo_etapa_menor_valor | decir_no_trabajo_excede_capacidad | hijo paso 8 | cap_04 L285 | El paso 8 del hijo dice que no antes de que el trabajo llegue a una etapa de mas valor (L285, we have learned that to wait until something reaches a higher value stage and then abort due to lack of capacity means losing more money and time), y el we have learned remite al valor anadido de cap_02; pero el procedimiento del hijo es la capacidad (pasos 1 a 7, L277), no detectar ni arreglar un fallo. Dos consecuencias distintas del mismo principio, como la de casar_flujo_fabricacion_flujo_ventas que la 64 no sostuvo. SANO.
NO SOSTENGO | subir_productividad_gerencial_tres_vias | identificar_paso_limitante_jornada_desfases, agrupar_tareas_semejantes_aprovechar_preparacion, usar_calendario_herramienta_planificacion_produccion, decir_no_trabajo_excede_capacidad, llevar_inventario_proyectos_discrecionales | madre paso 2 | cap_04 L261 | El tramo de L259 a L291 cuelga del paso 2 de la madre (L261, the most obvious way to increase managerial output is to increase the rate), pero ese paso nombra una meta, acelerar, y no un procedimiento, y cada hijo llega como su propio principio de produccion (L267 First, L269 A second production principle, L277 y L289 Another production principle); ninguno despliega acelerar entero. Nombrar adonde hay que llegar sigue siendo nombrar (EXTRACTOR 9.1, restriccion 1). D.37 mirada: ninguna de las tres vias de la madre es un nodo (DISCUTIBLE D66.9).
NO SOSTENGO | usar_calendario_herramienta_planificacion_produccion | buscar_regularidad_bloques_iguales_trabajo_mando | hijo paso 3 | cap_04 L305 | El paso 3 del hijo, As noted, remite a la fabrica contra el taller de L273, que es el paso 1 del vecino; pero lo que comparten es el principio, no el procedimiento: el hijo no usa el calendario como herramienta de planificacion, alisa la carga y coordina bloques con otros mandos. SANO.
NO SOSTENGO | dimensionar_inventario_materia_prima_reposicion | llevar_inventario_proyectos_discrecionales | hijo paso 1 | cap_04 L289 | El hijo toma el inventario de materia prima por analogia (a raw material inventory in terms of projects) y no dimensiona ni repone nada: lleva proyectos discrecionales para no meterse en el trabajo ajeno. La analogia no es el procedimiento. SANO.
