# Vuelta 68, TAREA 3.1: la relectura de fidelidad ENTERA (D.30, D.58) de los 20 de cap_05 y cap_06, paso a paso contra
# fuentes/grove_high_output/cap_05.md (175 lineas) y cap_06.md (95 lineas), leidos enteros en esta vuelta. Marca: T
# transcripcion, P puente (entero o de clausula; la clausula reescrita CUENTA como P, ACTA 62 62.5). Separador: barra
# vertical. Formato de .v66ext/fidelidad.tsv. Las citas van recortadas; la linea la localiza .v68ext/citas.sh, con su salida
# en .v68ext/citas_fidelidad.txt. Lo marcado DISCUTIBLE se marco al escribir la fila, antes de ninguna comprobacion.
# id | paso | marca | linea | lo que decide la marca
infundir_regularidad_reunion_proceso | 1 | T | L21 | To make the most of this kind of meeting, we should aim to infuse it with regularity
infundir_regularidad_reunion_proceso | 2 | T | L21 | the people attending should know how the meeting is run
infundir_regularidad_reunion_proceso | 3 | T | L21 | what kinds of substantive matters are discussed
infundir_regularidad_reunion_proceso | 4 | T | L21 | and what is to be accomplished
infundir_regularidad_reunion_proceso | 5 | T | L21 | set-up time and effort to take care of many similar managerial tasks
infundir_regularidad_reunion_proceso | 6 | T | L21 | given the regularity, you and the others attending can begin to forecast the time required
infundir_regularidad_reunion_proceso | 7 | T | L21 | system, as recorded on various calendars, can take shape
infundir_regularidad_reunion_proceso | 8 | T | L21 | a scheduled meeting will have minimum impact on other things people are doing
usar_tres_clases_reunion_proceso | 1 | T | L23 | At Intel we use three kinds of process-oriented meetings
usar_tres_clases_reunion_proceso | 2 | T | L23 | the one-on-one, the staff meeting, and the operation review. Primera de las tres
usar_tres_clases_reunion_proceso | 3 | T | L23 | the staff meeting, and the operation review. Segunda de las tres
usar_tres_clases_reunion_proceso | 4 | T | L23 | and the operation review. Tercera de las tres
fijar_frecuencia_reunion_individual_madurez_tarea | 1 | T | L33 | how do you decide how often somebody needs such a meeting? La clausula en vez de poner la misma frecuencia para todas glosa el somebody y el each of your subordinates de la respuesta; no manda nada que el libro no pida (DISCUTIBLE D68.3)
fijar_frecuencia_reunion_individual_madurez_tarea | 2 | T | L33 | The answer is the job- or task-relevant maturity of each of your subordinates
fijar_frecuencia_reunion_individual_madurez_tarea | 3 | T | L33 | how much experience does a given subordinate have with the specific task at hand
fijar_frecuencia_reunion_individual_madurez_tarea | 4 | T | L33 | This is not the same as the experience he has in general or how old he is
fijar_frecuencia_reunion_individual_madurez_tarea | 5 | T | L33 | varies from very close to very loose supervision
fijar_frecuencia_reunion_individual_madurez_tarea | 6 | T | L33 | you should have one-on-ones frequently (for example, once a week) with a subordinate who is inexperienced
fijar_frecuencia_reunion_individual_madurez_tarea | 7 | T | L33 | less frequently (perhaps once every few weeks) with an experienced veteran
fijar_frecuencia_reunion_individual_madurez_tarea | 8 | T | L35 | Another consideration here is how quickly things change in a job area
fijar_frecuencia_reunion_individual_madurez_tarea | 9 | T | L35 | In marketing, for example, the pace may be so rapid that a supervisor needs to have frequent one-on-ones
fijar_frecuencia_reunion_individual_madurez_tarea | 10 | T | L35 | in a research environment, life may be quieter
fijar_duracion_lugar_reunion_individual | 1 | T | L37 | There really is no answer to this, but the subordinate must feel that there is enough time
fijar_duracion_lugar_reunion_individual | 2 | T | L37 | would you want to bring it up in a meeting scheduled to last only fifteen minutes
fijar_duracion_lugar_reunion_individual | 3 | T | L37 | I feel that a one-on-one should last an hour at a minimum
fijar_duracion_lugar_reunion_individual | 4 | T | L37 | tends to make the subordinate confine himself to simple things that can be handled quickly
fijar_duracion_lugar_reunion_individual | 5 | T | L39 | I think you should have the meeting in or near the subordinate. La clausula y no en la del supervisor ni en otro sitio contesta a las otras dos salidas que la misma pregunta del libro pone, In the supervisor
fijar_duracion_lugar_reunion_individual | 6 | T | L39 | A supervisor can learn a lot simply by going to his subordinate
fijar_duracion_lugar_reunion_individual | 7 | T | L39 | Is he organized or not
fijar_duracion_lugar_reunion_individual | 8 | T | L39 | Does he repeatedly have to spend time looking for a document he wants
fijar_duracion_lugar_reunion_individual | 9 | T | L39 | Does he get interrupted all the time? Never
fijar_duracion_lugar_reunion_individual | 10 | T | L39 | And in general, how does the subordinate approach his work
preparar_guion_reunion_individual_subordinado | 1 | T | L41 | It should be regarded as the subordinate
preparar_guion_reunion_individual_subordinado | 2 | T | L41 | The supervisor with eight subordinates would have to prepare eight times
preparar_guion_reunion_individual_subordinado | 3 | T | L41 | So the latter should be asked to prepare an outline
preparar_guion_reunion_individual_subordinado | 4 | T | L41 | it forces him to think through in advance all of the issues and points he plans to raise
preparar_guion_reunion_individual_subordinado | 5 | T | L41 | the supervisor knows at the outset what is to be covered
preparar_guion_reunion_individual_subordinado | 6 | T | L41 | An outline also provides a framework for supporting information, which the subordinate should prepare in advance
preparar_guion_reunion_individual_subordinado | 7 | T | L41 | The subordinate should then walk the supervisor through all the material
cubrir_indicadores_problemas_reunion_individual | 1 | T | L43 | We can start with performance figures, indicators used by the subordinate
cubrir_indicadores_problemas_reunion_individual | 2 | T | L43 | Emphasis should be on indicators that signal trouble
cubrir_indicadores_problemas_reunion_individual | 3 | T | L43 | The meeting should also cover anything important that has happened since the last meeting
cubrir_indicadores_problemas_reunion_individual | 4 | T | L43 | current hiring problems
cubrir_indicadores_problemas_reunion_individual | 5 | T | L43 | people problems in general
cubrir_indicadores_problemas_reunion_individual | 6 | T | L43 | organizational problems and future plans
cubrir_indicadores_problemas_reunion_individual | 7 | T | L43 | very, very important
cubrir_indicadores_problemas_reunion_individual | 8 | T | L43 | Even when a problem isn
cubrir_indicadores_problemas_reunion_individual | 9 | T | L43 | The most important criterion governing matters to be talked about
cubrir_indicadores_problemas_reunion_individual | 10 | T | L43 | These are often obscure and take time to surface, consider, and resolve
facilitar_expresion_subordinado_pregunta_mas | 1 | T | L45 | He should facilitate the subordinate
facilitar_expresion_subordinado_pregunta_mas | 2 | T | L45 | The supervisor is there to learn and to coach
facilitar_expresion_subordinado_pregunta_mas | 3 | T | L45 | Peter Drucker sums up the supervisor
facilitar_expresion_subordinado_pregunta_mas | 4 | T | L47 | By applying Grove
facilitar_expresion_subordinado_pregunta_mas | 5 | T | L47 | he should ask another question
facilitar_expresion_subordinado_pregunta_mas | 6 | T | L47 | He should try to keep the flow of thoughts coming by prompting the subordinate with queries
tomar_notas_copia_guion_reunion_individual | 1 | T | L49 | First, both the supervisor and subordinate should have a copy of the outline
tomar_notas_copia_guion_reunion_individual | 2 | T | L49 | and both should take notes on it
tomar_notas_copia_guion_reunion_individual | 3 | T | L49 | I do it to keep my mind from drifting and also to help me digest the information I hear and see
tomar_notas_copia_guion_reunion_individual | 4 | T | L49 | Since I take notes in outline form, I am forced to categorize the information logically. El libro cuenta la costumbre del autor y el paso la pone de mandato, con la razon del libro (DISCUTIBLE D68.4)
tomar_notas_copia_guion_reunion_individual | 5 | T | L49 | Many issues in a one-on-one lead to action required on the part of the subordinate
tomar_notas_copia_guion_reunion_individual | 6 | T | L49 | the act implies a commitment, like a handshake, that something will be done
tomar_notas_copia_guion_reunion_individual | 7 | T | L49 | also having taken notes, can then follow up at the next one-on-one
acumular_asuntos_importantes_fichero_espera | 1 | T | L51 | where both the supervisor and subordinate accumulate important but not altogether urgent issues
acumular_asuntos_importantes_fichero_espera | 2 | T | L51 | accumulate important but not altogether urgent issues for discussion at the next meeting
acumular_asuntos_importantes_fichero_espera | 3 | T | L51 | This kind of file applies the production principle of batching
acumular_asuntos_importantes_fichero_espera | 4 | T | L51 | saves time for both involved by minimizing the need for ad hoc contact
alentar_asuntos_corazon_vigilar_final_reunion | 1 | T | L53 | The supervisor should also encourage the discussion of heart-to-heart issues during one-on-ones
alentar_asuntos_corazon_vigilar_final_reunion | 2 | T | L53 | this is the perfect forum for getting at subtle and deep work-related problems
alentar_asuntos_corazon_vigilar_final_reunion | 3 | T | L53 | Is he satisfied with his own performance? El libro pone las tres preguntas como los asuntos a los que se llega; el preguntale es verbo de marco sobre el objeto del libro (DISCUTIBLE D68.5)
alentar_asuntos_corazon_vigilar_final_reunion | 4 | T | L53 | Does some frustration or obstacle gnaw at him? El mismo verbo de marco (DISCUTIBLE D68.5)
alentar_asuntos_corazon_vigilar_final_reunion | 5 | T | L53 | Does he have doubts about where he is going? El mismo verbo de marco (DISCUTIBLE D68.5)
alentar_asuntos_corazon_vigilar_final_reunion | 6 | T | L53 | But the supervisor should be wary of the
alentar_asuntos_corazon_vigilar_final_reunion | 7 | T | L53 | More often than not, these come near the end of a meeting
alentar_asuntos_corazon_vigilar_final_reunion | 8 | T | L53 | If you let that happen, the subordinate might tell you something like he
conducir_reunion_individual_telefono_distancia | 1 | T | L55 | Long-distance telephone one-on-ones have become necessary because many organizations are now spread out geographically
conducir_reunion_individual_telefono_distancia | 2 | T | L55 | the supervisor must have the outline before the meeting begins
conducir_reunion_individual_telefono_distancia | 3 | T | L55 | both parties should take notes
conducir_reunion_individual_telefono_distancia | 4 | T | L55 | note-taking can
conducir_reunion_individual_telefono_distancia | 5 | T | L55 | Exchanging notes after the meeting is a way to make sure each knows what the other committed himself to do
