# ARISTAS POR LECTURA (D.29, D.53) DE LA VUELTA 68 para los 20 de cap_05 y cap_06: las que la senial NO levanta en ningun
# sentido en el barrido de hoy (.v68ext/vecinos_<id>.json, poblacion 479, 390 grafo mas 89 bandejas). Las madres del grafo
# no se barrieron hoy, asi que "ningun sentido" quiere decir: el hijo no las levanta, y si la madre es de los 20, ella tampoco.
# Las que la senial SI levanta van como CONTINUA en .v68ext/veredictos_listos.txt y no aqui.
# Formato, el de .v66ext/aristas_lectura.txt: SOSTENGO o NO SOSTENGO | madre | hijo | paso de la madre y paso del hijo | linea del libro | razon
# Se cablean en la 70 en el acto de insertar el hijo, con la madre ya en el grafo: python forja.py arista --madre --hijo --paso --razon.
# Lo DISCUTIBLE se marco al escribir la fila.
SOSTENGO | agrupar_tareas_semejantes_aprovechar_preparacion | infundir_regularidad_reunion_proceso | madre paso 3, hijo paso 5 | cap_05 L21 | El paso 5 del hijo disena la reunion de proceso para agrupar transacciones en tanda, usando el mismo tiempo y esfuerzo de preparacion para muchas tareas de mando semejantes (L21, It should be designed to allow a manager to batch transactions), que es el procedimiento que la madre despliega (paso 3, usa un mismo esfuerzo de preparacion y aplicalo a todo un grupo de actividades semejantes; cap_04 L269 a L271). El hijo lo aplica a la reunion y anade lo que la madre no tiene: que los asistentes sepan como se lleva, que se trata y que hay que conseguir (pasos 2 a 4), y el pronostico que la regularidad permite (pasos 6 a 8). Misma figura que la de la madre a agrupar_interrupciones_subordinados_reuniones_regulares, sostenida en la ACTA 65 65.4.b y cableada en la vuelta 68. La senial no lo levanta: el hijo no levanta a la madre.
SOSTENGO | buscar_regularidad_bloques_iguales_trabajo_mando | infundir_regularidad_reunion_proceso | madre paso 1, hijo paso 1 | cap_05 L21 | El paso 1 del hijo apunta a infundir regularidad a la reunion de proceso (L21, we should aim to infuse it with regularity), que es el concepto de produccion que la madre despliega en el trabajo de mando (paso 1, ve hacia la regularidad; paso 8, usa los mismos bloques de tiempo para las actividades iguales; cap_04 L305 a L307), y el libro lo ata con las mismas comillas de produccion en L21 (batch, production control). El hijo lo lleva a una clase de reunion y anade lo que la madre no tiene (pasos 2 a 8). Misma figura que la de la madre a canalizar_interrupciones_cartel_hora_oficina (D66.11, sostenida en la ACTA 65). La senial no lo levanta: el hijo no levanta a la madre (DISCUTIBLE D68.10).
NO SOSTENGO | usar_calendario_herramienta_planificacion_produccion | infundir_regularidad_reunion_proceso | hijo pasos 6 y 7 | cap_05 L21 | El hijo dice que, dada la regularidad, los asistentes pueden pronosticar el tiempo de la reunion y que de ahi toma forma un sistema de control de produccion registrado en los calendarios (L21, Hence, a production control system, as recorded on various calendars, can take shape). Eso es consecuencia de la regularidad del hijo, no despliegue del procedimiento de la vecina: el hijo no usa el calendario como herramienta ni programa nada entre pasos limitantes (vecina pasos 4 a 7); dice que su reunion le deja un sitio fijo. Comparten el calendario, no el procedimiento, como el NO SOSTENGO de la vecina a buscar_regularidad_bloques_iguales_trabajo_mando de la 66. SANO.
# vuelta 69, D68.7, SOSTENGO a NO SOSTENGO: SOSTENGO | usar_tres_clases_reunion_proceso | facilitar_expresion_subordinado_pregunta_mas | madre paso 2, hijo paso 1 | cap_05 L45 | El hijo despliega la primera clase que la madre nombra en una linea (paso 2, el uno a uno, L23), bajo el encabezado ONE-ON-ONES que abre su tramo (L25), con su propia pregunta del libro (L45, What is the role of the supervisor in a one-on-one): su condicion, estar dentro de la reunion individual como supervisor, parte del producto del paso 2, y trae seis pasos propios que la cabeza no tiene. Figura de C1 (ACTA 66 66.4.a), la misma de las cuatro CONTINUA de la cabeza en .v68ext/veredictos_listos.txt. La senial no lo levanta en ningun sentido (DISCUTIBLE D68.7).
NO SOSTENGO | usar_tres_clases_reunion_proceso | facilitar_expresion_subordinado_pregunta_mas | madre paso 2, hijo paso 1 | cap_05 L45 | Relectura conjunta de la vuelta 69 (ACTA 67 67.4.d, D68.7): la cabeza solo produce saber que las reuniones de proceso son de tres clases y como se llaman (L23). La condicion del hijo, estar dentro de la reunion individual como supervisor y decidir que papel juegas, parte de su propia situacion con el uno a uno en marcha y contesta su propia pregunta del libro (L45, What is the role of the supervisor in a one-on-one); ninguno de sus seis pasos usa el producto de la cabeza. El unico hilo es el rotulo del paso 2, y el encabezado ONE-ON-ONES (L25) es formato (P.17). Figura de D67.3, no de C1. SANO. Correccion declarada: la fila vieja decia SOSTENGO (DISCUTIBLE D69.1).
# vuelta 69, D68.7, SOSTENGO a NO SOSTENGO: SOSTENGO | usar_tres_clases_reunion_proceso | acumular_asuntos_importantes_fichero_espera | madre paso 2, hijo paso 2 | cap_05 L51 | El hijo despliega la primera clase que la madre nombra en una linea (paso 2, el uno a uno, L23), bajo ONE-ON-ONES (L25): su condicion, lo que aparece entre una reunion individual y la siguiente, parte del producto del paso 2, y su paso 2 acumula para la reunion siguiente (L51, for discussion at the next meeting). Trae cuatro pasos propios que la cabeza no tiene. Figura de C1. La senial no lo levanta en ningun sentido (DISCUTIBLE D68.7).
NO SOSTENGO | usar_tres_clases_reunion_proceso | acumular_asuntos_importantes_fichero_espera | madre paso 2, hijo paso 2 | cap_05 L51 | Relectura conjunta de la vuelta 69 (ACTA 67 67.4.d, D68.7): la cabeza solo produce saber que las reuniones de proceso son de tres clases y como se llaman (L23). La condicion del hijo, los asuntos que aparecen entre una reunion individual y la siguiente, parte de su propia situacion con el uno a uno en marcha y contesta su propia pregunta del libro (L51, A real time-saver is using a hold file); ninguno de sus cuatro pasos usa el producto de la cabeza. El unico hilo es el rotulo del paso 2, y el encabezado ONE-ON-ONES (L25) es formato (P.17). Figura de D67.3, no de C1. SANO. Correccion declarada: la fila vieja decia SOSTENGO (DISCUTIBLE D69.1).
# vuelta 69, D68.7, SOSTENGO a NO SOSTENGO: SOSTENGO | usar_tres_clases_reunion_proceso | alentar_asuntos_corazon_vigilar_final_reunion | madre paso 2, hijo paso 1 | cap_05 L53 | El hijo despliega la primera clase que la madre nombra en una linea (paso 2, el uno a uno, L23), bajo ONE-ON-ONES (L25): su condicion, la reunion individual en marcha, parte del producto del paso 2, y trae ocho pasos propios (L53, encourage the discussion of heart-to-heart issues during one-on-ones) que la cabeza no tiene. Figura de C1. La senial no lo levanta en ningun sentido (DISCUTIBLE D68.7).
NO SOSTENGO | usar_tres_clases_reunion_proceso | alentar_asuntos_corazon_vigilar_final_reunion | madre paso 2, hijo paso 1 | cap_05 L53 | Relectura conjunta de la vuelta 69 (ACTA 67 67.4.d, D68.7): la cabeza solo produce saber que las reuniones de proceso son de tres clases y como se llaman (L23). La condicion del hijo, la reunion individual en marcha y decidir si se abre la puerta a los problemas de fondo, parte de su propia situacion con el uno a uno en marcha y contesta su propia pregunta del libro (L53, The supervisor should also encourage the discussion of heart-to-heart issues); ninguno de sus ocho pasos usa el producto de la cabeza. El unico hilo es el rotulo del paso 2, y el encabezado ONE-ON-ONES (L25) es formato (P.17). Figura de D67.3, no de C1. SANO. Correccion declarada: la fila vieja decia SOSTENGO (DISCUTIBLE D69.1).
# vuelta 69, D68.7, SOSTENGO a NO SOSTENGO: SOSTENGO | usar_tres_clases_reunion_proceso | programar_reunion_individual_cadena | madre paso 2, hijo paso 1 | cap_05 L57 | El hijo despliega la primera clase que la madre nombra en una linea (paso 2, el uno a uno, L23), bajo ONE-ON-ONES (L25): su condicion, poner en el calendario la reunion individual siguiente, parte del producto del paso 2, y trae cinco pasos propios (L57, One-on-ones should be scheduled on a rolling basis) que la cabeza no tiene. Figura de C1. La senial no lo levanta en ningun sentido (DISCUTIBLE D68.7).
NO SOSTENGO | usar_tres_clases_reunion_proceso | programar_reunion_individual_cadena | madre paso 2, hijo paso 1 | cap_05 L57 | Relectura conjunta de la vuelta 69 (ACTA 67 67.4.d, D68.7): la cabeza solo produce saber que las reuniones de proceso son de tres clases y como se llaman (L23). La condicion del hijo, poner en el calendario la reunion individual siguiente, parte de su propia situacion con el uno a uno en marcha y contesta su propia pregunta del libro (L57, One-on-ones should be scheduled on a rolling basis); ninguno de sus cinco pasos usa el producto de la cabeza. El unico hilo es el rotulo del paso 2, y el encabezado ONE-ON-ONES (L25) es formato (P.17). Figura de D67.3, no de C1. SANO. Correccion declarada: la fila vieja decia SOSTENGO (DISCUTIBLE D69.1).
# vuelta 69, razon corregida, NO SOSTENGO se sostiene: NO SOSTENGO | usar_tres_clases_reunion_proceso | tomar_notas_copia_guion_reunion_individual, conducir_reunion_individual_telefono_distancia | madre paso 2 | cap_05 L49, L55 | Tambien despliegan el uno a uno, pero cada uno tiene madre mas cercana que la cabeza: tomar_notas es hijo de preparar_guion_reunion_individual_subordinado (su condicion es el guion ya preparado, L49) y conducir_telefono es hijo de tomar_notas (L55, and so on), las dos CONTINUA en .v68ext/veredictos_listos.txt. La cabeza es su abuela y su bisabuela, y no se cablea la directa, como subir y elegir en la 67 (D67.4). SANO.
NO SOSTENGO | usar_tres_clases_reunion_proceso | tomar_notas_copia_guion_reunion_individual, conducir_reunion_individual_telefono_distancia | madre paso 2 | cap_05 L49, L55 | Tambien despliegan un aspecto del uno a uno, y por la misma razon que las ocho de la relectura conjunta de la vuelta 69 (D68.7): la cabeza solo produce saber cuantas clases hay y como se llaman (L23), y ninguna condicion de estos dos parte de eso. La de tomar_notas es el guion ya preparado, producto de preparar_guion_reunion_individual_subordinado (L49), y la de conducir_telefono sigue a tomar_notas (L55); las dos CONTINUA en .v68ext/veredictos_listos.txt. SANO. Correccion declarada: la razon vieja los llamaba nieta y bisnieta de la cabeza por preparar_guion, y la conjunta deja a preparar_guion sin madre en la cabeza (DISCUTIBLE D69.2).
SOSTENGO | agrupar_interrupciones_subordinados_reuniones_regulares | acumular_asuntos_importantes_fichero_espera | madre paso 2, hijo paso 2 | cap_05 L51 | El hijo usa el procedimiento de la madre y lo lleva a un fichero compartido: la madre acumula las interrupciones de los subordinados para atenderlas en las reuniones de uno a uno (pasos 2 y 3, cap_04 L317), y el hijo acumula ahi lo importante y no urgente para la reunion siguiente, para reducir el contacto improvisado, que son las interrupciones que el libro considero antes (L51, which constitute the interruptions we considered earlier). El hijo anade lo que la madre no tiene: que el fichero es de las dos partes (paso 1). La senial no lo levanta: el hijo no levanta a la madre, que entro en la vuelta 68 (DISCUTIBLE D68.11).
NO SOSTENGO | agrupar_tareas_semejantes_aprovechar_preparacion | acumular_asuntos_importantes_fichero_espera | hijo paso 3 | cap_05 L51 | L51 nombra el principio de la tanda (This kind of file applies the production principle of batching), pero la madre de la tanda es abuela del hijo: agrupar_tareas es madre de agrupar_interrupciones_subordinados_reuniones_regulares (cableada en la vuelta 68) y esta es madre del hijo (fila de arriba). No se cablea la directa (D67.4). SANO.
SOSTENGO | conducir_etapas_modelo_ideal_decision | cortar_discusion_libre_momento_justo | madre paso 5, hijo paso 1 | cap_06 L63 | El paso 5 de la madre nombra en una linea el paso de la discusion libre a la etapa de decision clara (L27, The next stage is reaching a clear decision); el hijo despliega cuando se da ese paso, ni antes de oir los asuntos de verdad ni despues de oirlo todo (L63, If you either enter the decision-making stage too early or wait too long), en siete pasos que la madre no tiene. Su condicion, dirigir una discusion libre y decidir si ya es momento de pasar a la decision, es la etapa 1 de la madre en marcha. La senial no lo levanta en ningun sentido: la madre no levanta a ningun vecino y el hijo no la levanta.
SOSTENGO | conducir_etapas_modelo_ideal_decision | ejercer_poder_posicion_etapa_decision_clara | madre paso 5, hijo paso 4 | cap_06 L61 | El paso 5 de la madre nombra en una linea la etapa de decision clara (L27); el hijo despliega que pasa cuando se llega a ella sin consenso: el de mayor rango ejerce ahi la autoridad de su puesto, y nunca antes (L61, if the clear decision stage is reached and no consensus has developed), y su paso 3 comprueba que la etapa 1 de la madre se hizo bien (the full benefit of free discussion). Trae siete pasos que la madre no tiene. La senial no lo levanta en ningun sentido.
NO SOSTENGO | conducir_etapas_modelo_ideal_decision | decidir_nivel_competente_inferior | hijo paso 8 | cap_06 L33 | El libro lo trae como otro rasgo del modelo (L33, Another desirable and important feature of the model), pero la madre nombra tres etapas y ninguna es ese rasgo: el vecino lleva la decision al nivel competente mas bajo y compone el grupo con la mejor mezcla. Su paso 8 cita la etapa de discusion libre como el momento en que todos hablan como iguales, pero su condicion, quien compone el grupo, no parte del producto de la madre. SANO (DISCUTIBLE D68.14).
