id	paso	clase	linea_cap_04	lectura
reunir_informacion_gerencial_vias_variadas	1	T	L145	I read standard reports and memos
reunir_informacion_gerencial_vias_variadas	2	T	L145	but also get information ad hoc; "la que no viene por el circuito reglado" es glosa de ad hoc, no acto nuevo
reunir_informacion_gerencial_vias_variadas	3	T	L145	I talk to people inside and outside the company, managers at other firms or financial analysts or members of the press
reunir_informacion_gerencial_vias_variadas	4	T	L145	Customer complaints, both external and internal, are also a very important source of information
reunir_informacion_gerencial_vias_variadas	5	T	L145	To cut myself off from the casual complaints ... would miss getting an evaluation of my performance as an internal supplier
reunir_informacion_gerencial_vias_variadas	6	T	L145	People also tell us things because they want us to do something for them ... apart from whether we do as they ask
reunir_informacion_gerencial_vias_variadas	7	T	L147	quick, often casual verbal exchanges ... reaches a manager much faster than anything written down
reunir_informacion_gerencial_vias_variadas	8	T	L147	the more timely the information, the more valuable it is
escalonar_fuentes_informacion_gerencial	1	T	L153	you have to understand the way it comes to you. There is a hierarchy involved
escalonar_fuentes_informacion_gerencial	2	T	L153	Verbal sources are the most valuable ... sketchy, incomplete, and sometimes inaccurate, like a newspaper headline
escalonar_fuentes_informacion_gerencial	3	T	L153	So you then read the newspaper article itself to find out who, what, where, why, and how
escalonar_fuentes_informacion_gerencial	4	T	L153	reiteration and perspective ... a news magazine or even a book
escalonar_fuentes_informacion_gerencial	5	T	L153	Each level ... is important, and you can rely on none alone
escalonar_fuentes_informacion_gerencial	6	T	L153	you do not ... want to wait a full week after an event to find out about it
escalonar_fuentes_informacion_gerencial	7	T	L153	complement one another, and also be redundant because that gives you a way to verify
programar_visita_area_observar_despachar	1	T	L155	visit a particular place in the company and observe what is going on there
programar_visita_area_observar_despachar	2	T	L155	stop-and-start dynamics ... two-minute kernel ... often takes a half hour
programar_visita_area_observar_despachar	3	T	L155	he can simply stop, cover it, and be on his way
programar_visita_area_observar_despachar	4	T	L155	Ditto for the subordinate when he initiates conversation
programar_visita_area_observar_despachar	5	T	L157	programmed visits meant to accomplish formal tasks, but which also set the stage for ad hoc mini-transactions
programar_visita_area_observar_despachar	6	T	L157	Mr. Clean inspections ... a part of the company that they normally would not visit
programar_visita_area_observar_despachar	7	T	L157	examine the housekeeping, the arrangement of things, the labs, and the safety equipment
programar_visita_area_observar_despachar	8	T	L157	spend an hour or so browsing around and getting acquainted with things firsthand
transmitir_objetivos_prioridades_preferencias	1	T	L159	a manager not only gathers information but is also a source of it
transmitir_objetivos_prioridades_preferencias	2	T	L159	convey his knowledge to members of his own organization and to other groups he influences
transmitir_objetivos_prioridades_preferencias	3	T	L159	Beyond relaying facts ... communicate his objectives, priorities, and preferences
transmitir_objetivos_prioridades_preferencias	4	T	L159	only if the manager imparts these will his subordinates know how to make decisions themselves
transmitir_objetivos_prioridades_preferencias	5	T	L159	transmitting objectives and preferred approaches constitutes a key to successful delegation
empujar_persona_reunion_direccion_preferida	1	T	L167	making a phone call to an associate suggesting that a decision be made in a certain way
empujar_persona_reunion_direccion_preferida	2	T	L167	sending a note or a memo that shows how you see a particular situation
empujar_persona_reunion_direccion_preferida	3	T	L167	making a comment during an oral presentation
empujar_persona_reunion_direccion_preferida	4	T	L167	advocating a preferred course of action, but you are not issuing an instruction or a command
empujar_persona_reunion_direccion_preferida	5	T	L167	something stronger than merely conveying information ... nudge an individual or a meeting
empujar_persona_reunion_direccion_preferida	6	T	L167	carefully distinguished from decision-making that results in firm, clear directives
empujar_persona_reunion_direccion_preferida	7	T	L167	for every unambiguous decision we make, we probably nudge things a dozen times
subir_productividad_gerencial_tres_vias	1	T	L195	the output of a manager per unit of time worked
subir_productividad_gerencial_tres_vias	2	T	L197	Increasing the rate ... speeding up his work
subir_productividad_gerencial_tres_vias	3	T	L199	Increasing the leverage associated with the various managerial activities
subir_productividad_gerencial_tres_vias	4	T	L201	Shifting the mix ... from those with lower to those with higher leverage
buscar_actividad_alta_palanca_tres_vias	1	D	L203 a L207	"These can be achieved in three basic ways" es del libro; "Repasa tus actividades buscando" es verbo del extractor. Me inclino a T: L193 "being sensitive to the leverage of what you do during the day" y L241 "select from the many activities" piden mirar las propias actividades, pero estan fuera de la pieza
buscar_actividad_alta_palanca_tres_vias	2	T	L209	When many people are affected by one manager
buscar_actividad_alta_palanca_tres_vias	3	T	L211	a person activity or behavior over a long period ... brief, well-focused set of words or actions
buscar_actividad_alta_palanca_tres_vias	4	T	L213	a large group work is affected by an individual supplying a unique, key piece of knowledge
elegir_momento_actividad_palanca_maxima	1	T	L215	leverage that depends, however, on when it is performed
elegir_momento_actividad_palanca_maxima	2	T	L215	defines in advance exactly what information needs to be gathered and presented at each stage ... lays out who is responsible for what; el ejemplo de Robin generalizado sin anadir acto
elegir_momento_actividad_palanca_maxima	3	T	L215	directly affects the subsequent work of perhaps two hundred people ... eliminate confusion and ambiguity ... over an extended period
elegir_momento_actividad_palanca_maxima	4	T	L215	If Robin has to scramble later to help a manager define guidelines and milestones ... much less leverage
elegir_momento_actividad_palanca_maxima	5	T	L217	a valued subordinate has decided to quit ... direct yourself to the situation immediately
elegir_momento_actividad_palanca_maxima	6	T	L217	If you put it off, all your chances are lost
elegir_momento_actividad_palanca_maxima	7	T	L217	keep timeliness, which is often critical, firmly in mind
detectar_palanca_negativa_actividad_mando	1	T	L219	Leverage can also be negative. Some managerial activities can reduce the output
detectar_palanca_negativa_actividad_mando	2	T	L219	a key participant at a meeting ... arrive unprepared ... deprive the other participants
detectar_palanca_negativa_actividad_mando	3	D	L231	el contenido es del libro (depression spread throughout his organization); "Revisa si estas desanimado" es verbo del extractor y el libro dice que desde dentro no se ve: "Though he did not realize it" y salio "only when someone on his staff finally told him". Me inclino a T por ser el marco del propio nodo (detectar), pero un lector estricto lo leeria PUENTE de clausula como el de ACTA 62 62.5
detectar_palanca_negativa_actividad_mando	4	T	L231	He snapped out of it only when someone on his staff finally told him
detectar_palanca_negativa_actividad_mando	5	D	L231	waffling ... puts off a decision ... no green light is a red light; "Revisa si estas dando largas" es el mismo verbo del extractor que el paso 3, aqui sin contradiccion del libro
detectar_palanca_negativa_actividad_mando	6	T	L233	virtually unlimited negative leverage ... retraining the group ... pervasive and so elusive
detectar_palanca_negativa_actividad_mando	7	D	L235	definicion de meddling transcrita; "Revisa si te estas entrometiendo" es el mismo verbo del extractor
