madre	hijo	queda	tramo_madre	tramo_hijo	linea	lectura
buscar_regularidad_bloques_iguales_trabajo_mando	infundir_regularidad_reunion_proceso	SOSTENGO, DUDA	pasos 1, 8 y 9	pasos 1, 6 y 7	cap_05 L21	we should aim to infuse it with regularity ... a production control system, as recorded on various calendars: la condicion del hijo (una reunion que se repite en calendario fijo) es el producto de los pasos 8 y 9 de la madre (los mismos bloques de tiempo, el lunes de los grupos de planificacion), y el hijo anade que es la regularidad DENTRO de la reunion (como se lleva, que se trata, que se consigue) y el pronostico. La DUDA: se puede leer como hermanos, el mismo principio de produccion aplicado a la jornada y a la reunion
agrupar_tareas_semejantes_aprovechar_preparacion	infundir_regularidad_reunion_proceso	NO, DUDA	paso 3	paso 5	cap_05 L21	It should be designed to allow a manager to batch transactions: la tanda sale en el hijo como consecuencia de la regularidad, en un paso de ocho, y la relacion con los principios de produccion ya la lleva buscar_regularidad. La contraria: el paso 5 procedimenta la tanda y no solo la nombra, como agrupar_interrupciones en la 66
agrupar_interrupciones_subordinados_reuniones_regulares	acumular_asuntos_importantes_fichero_espera	SOSTENGO	pasos 2, 3 y 5	pasos 1, 2 y 4	cap_05 L51	which constitute the interruptions we considered earlier: el libro remite con palabras a la pieza de la madre. La condicion del hijo (entre una reunion individual y la siguiente aparece un asunto) parte del producto de la madre (las interrupciones acumuladas para las reuniones regulares), y el hijo anade el fichero compartido, que acumulan LAS DOS partes, y el filtro importante pero no urgente. agrupar_tareas queda de abuela, sin arista directa, como D67.4 en la 67
preparar_guion_reunion_individual_subordinado	tomar_notas_copia_guion_reunion_individual	EN VEREDICTO	pasos 3 y 6	pasos 1 y 2	cap_05 L41 y L49	EL BARRIDO LA LEVANTA: no es arista por lectura sino linea CONTINUA con madre= (mis_clases.tsv), como la de detectar_arreglar en la 66. both the supervisor and subordinate should have a copy of the outline: la condicion del hijo (la reunion ya tiene su guion preparado) es el producto de la madre, y el hijo anade las notas sobre el guion, lo que simbolizan y el seguimiento
tomar_notas_copia_guion_reunion_individual	conducir_reunion_individual_telefono_distancia	EN VEREDICTO, DUDA	pasos 1, 2 y 6	pasos 3, 4 y 5	cap_05 L55	EL BARRIDO LA LEVANTA: no es arista por lectura sino linea CONTINUA con madre= (mis_clases.tsv), como la de detectar_arreglar en la 66. note-taking can't work in the same way as in a face-to-face meeting. Exchanging notes after the meeting: el hijo adapta a la distancia la toma de notas de la madre y anade el intercambio de notas al terminar. La DUDA: la condicion del hijo es geografica y no el producto de la madre; se puede leer como variante hermana de la reunion cara a cara
preparar_guion_reunion_individual_subordinado	conducir_reunion_individual_telefono_distancia	NO	paso 3	paso 2	cap_05 L55	the supervisor must have the outline before the meeting begins: un paso que usa el guion; la relacion pasa por tomar_notas, que es la que el hijo adapta
preparar_guion_reunion_individual_subordinado	cubrir_indicadores_problemas_reunion_individual	NO, DUDA	paso 3	condicion	cap_05 L41 y L43	la condicion de cubrir dice o preparando su guion, pero cubrir decide QUE se trata y preparar QUIEN prepara: hermanos del uno a uno. La contraria: el contenido que cubrir fija es el que va dentro del guion
elegir_estilo_direccion_madurez_relevante_tarea	fijar_frecuencia_reunion_individual_madurez_tarea	NO, DUDA	paso 1	pasos 2, 3 y 5	cap_05 L33	As we will see later: el paso 5 del hijo NOMBRA el estilo por madurez con un Cuenta con, y el paso 3 mide la madurez por su cuenta (experiencia con la tarea). El producto de la madre es un estilo elegido y el hijo no lo usa. Nombrar no es procedimentar. La madre vive en la bandeja (cap_13) y no en esta tanda
supervisar_tarea_delegada_etapa_menor_valor	fijar_frecuencia_reunion_individual_madurez_tarea	NO	pasos 5 y 6	pasos 2 y 3	cap_04 L253 y cap_05 L33	las dos mueven una frecuencia por la madurez relativa a la tarea, pero de cosas distintas: la comprobacion de lo delegado y la reunion individual. Hermanos. Es la que la 66 dejo escrita para cuando entrara su hijo
conducir_etapas_modelo_ideal_decision	ejercer_poder_posicion_etapa_decision_clara	SOSTENGO	pasos 5 y 6	pasos 1 a 4	cap_06 L61	the clear decision stage is reached and no consensus has developed: la condicion del hijo es estar en la segunda etapa de la madre sin consenso, y el hijo anade quien decide y cuando el poder de posicion es legitimo
