# Fase ciega de la 76: mis clases de los pares del barrido ENTRE capitulos de la bandeja o CON un extremo fuera, escritas al
# recogerlo (08:55:29), con los pasos de los dos delante (.v76aud/pasos_22.txt y .v76aud/pasos_fuera.txt, pasos_ciego.py, R6).
# Vara 6.1 y solo 6.1. Formato: a|b|clase|madre|razon.
aplicar_cinco_pasos_proceso_contratacion|fingir_prototipo_cinco_mil_replicas|SANO||cap_18 y cap_11: la contratacion comunica la idea a quien entra (L249 a L271) y el prototipo pone las seis reglas del juego de la franquicia (L35 a L57); ningun paso de uno usa el producto del otro
cambiar_saludo_cliente_dos_ramas|dictar_ritmo_crecimiento_preguntas_escritas|SANO||cap_12 y cap_07: comparten la forma pregunta; el saludo al cliente y las preguntas del plan de crecimiento no tienen paso comun
cambiar_saludo_cliente_dos_ramas|operar_modelo_gente_destreza_minima|SANO||cap_12 y cap_11: comparten la forma pregunta (L91 y L93 contra L51); sin paso comun
cambiar_saludo_cliente_dos_ramas|responder_primer_aviso_renuncia_subordinado|SANO||de fuera, Grove cap_15: preguntar al cliente al entrar y escuchar al subordinado que se va comparten solo la forma pregunta y respuesta
cambiar_saludo_cliente_dos_ramas|entregar_evaluacion_desempeno_tres_claves|SANO||de fuera, Grove cap_14: el saludo y la entrega de la evaluacion no comparten procedimiento
construir_empresa_plantilla_vision_diaria|recorrer_trece_elementos_proceso_evaluacion_formal|SANO||de fuera, Scott: la plantilla de la empresa medida cada noche y las trece decisiones del proceso de evaluacion comparten solo palabras (proceso, cada dia)
construir_estrategia_gente_cuatro_componentes|recorrer_siete_pasos_programa_desarrollo_negocio|CONTINUA|recorrer_siete_pasos_programa_desarrollo_negocio|cap_18 y cap_13: el hijo es el paso 5 que la madre nombra (paso 8, L53) desplegado con su composicion (L117 y L119), y su condicion es tener hechos los pasos 1 a 3 del mismo programa. Figura C1 y parte D.37 (d111). DUDA: la frontera de la vuelta 5 leyo los pasos 1 y 2 como METODO DENTRO del paso; si este se lee igual, SANO y sin arista a parte
construir_estrategia_gente_cuatro_componentes|medir_sistema_venta_trece_indicadores_benchmark|SANO||cap_18 y cap_19: los componentes de la estrategia de gente y los trece indicadores de venta no comparten paso
construir_estrategia_gente_cuatro_componentes|distinguir_tres_tipos_sistemas_negocio|SANO||cap_18 y cap_19: sin paso comun; los dos nombran piezas del programa, nombrar no es procedimentar
cuantificar_impacto_innovacion_6_pasos|dictar_ritmo_crecimiento_preguntas_escritas|SANO||cap_12 y cap_07: contar el efecto de una innovacion y planificar el crecimiento; comparten cuanto y cuantos, no procedimiento
cuantificar_impacto_innovacion_6_pasos|responder_primer_aviso_renuncia_subordinado|SANO||de fuera, Grove: sin paso comun
cuantificar_impacto_innovacion_6_pasos|pedir_critica_anonima_curso_entrenamiento_dictado|SANO||de fuera, Grove cap_17: los dos miden si algo hecho funciono, pero uno cuenta puertas y compras antes y despues y el otro pide un formulario anonimo tras un curso; objeto, instrumento y momento distintos
cuantificar_impacto_innovacion_6_pasos|entregar_evaluacion_desempeno_tres_claves|SANO||de fuera, Grove: sin paso comun
dar_valor_constante_cuatro_publicos|trazar_modelo_negocio_cliente_primero|SANO||cap_11 y cap_08: el valor como lo percibe la gente (L63) y el modelo que satisface necesidades percibidas (L109) comparten la palabra percibir; uno da valor a cuatro publicos y el otro traza el negocio desde el cliente, cada uno con procedimiento propio
descubrir_motivacion_sentido_persona|dictar_ritmo_crecimiento_preguntas_escritas|SANO||de fuera, Scott: la motivacion de cada persona y el plan de crecimiento del negocio comparten la palabra crecimiento
dictar_ritmo_crecimiento_preguntas_escritas|hacer_trabajo_futuro_imaginar_negocio|SANO||cap_07 y cap_04: el trabajo futuro imagina que negocio seria (L285 a L291) y el plan dicta su ritmo con preguntas y por escrito (L279 a L287); los dos miran el futuro, cada uno con procedimiento propio, y ninguno usa el producto del otro
dictar_ritmo_crecimiento_preguntas_escritas|planificar_tres_pasos_demanda_estado_brecha|SANO||de fuera, Grove, el par mas cercano de la tanda: los dos planifican, pero Grove compara la demanda con el estado presente y concilia (pasos 2 a 6) y Gerber contesta sus preguntas de donde, cuando, cuanto capital, gente, tecnologia y espacio, con contingencias y por escrito (L279 a L287). Hay procedimiento fuera del solape en los dos lados: dos doctrinas legitimas (6.1), no duplicado
dictar_ritmo_crecimiento_preguntas_escritas|operar_modelo_gente_destreza_minima|SANO||cap_07 y cap_11: sin paso comun
dictar_ritmo_crecimiento_preguntas_escritas|responder_primer_aviso_renuncia_subordinado|SANO||de fuera, Grove: sin paso comun
