# MI LECTURA CIEGA DE LA 65, por la vara 6.1 de AUDITOR_FORJA.md y solo esa, con los pasos de los dos delante
# (.v65aud/pasos_20.txt y python .v64aud/pasos.py <a> <b>) y el libro abierto. Un par por linea, sin direccion:
# vale para los dos sentidos en que el barrido lo levante. Separador: barra vertical.
# a | b | mi clase | confianza | linea del libro | razon
clasificar_trabajo_proceso_montaje_prueba | preferir_inspeccion_proceso_prueba_destructiva | SANO | alta | cap_02 L39 a L45 contra L67 | Comparten prueba y proceso como palabras. El primero reparte un trabajo en proceso, montaje y prueba y ordena prueba unitaria, rehacer, montar y prueba del sistema; el segundo elige, en una operacion continua, la inspeccion dentro del proceso frente a la prueba que destruye producto. L67 no vuelve sobre los tres tipos de operacion y ninguno usa el procedimiento del otro.
construir_flujo_produccion_paso_limitante | retirar_barreras_politicas_metodo | SANO | alta | cap_02 L21 contra smart_who | Ajenos. La senial es de paso contra nodo entre mirar tu flujo de produccion y trabajar con la gente de personal; uno planea un flujo alrededor del paso limitante, el otro quita politicas, normas y practicas que estorban a un metodo de contratacion.
construir_flujo_produccion_paso_limitante | preferir_inspeccion_proceso_prueba_destructiva | SANO | alta | cap_02 L23 a L27 contra L67 | Ajenos dentro del mismo desayuno: el primero calcula hacia atras el tiempo total de paso desde el paso limitante; el segundo elige como vigilar un parametro de una maquina continua. Vocabulario comun de huevo, maquina y proceso.
decidir_aceptar_rechazar_material_defectuoso | dimensionar_plantilla_administrativa_pronostico | SANO | alta | cap_03 L135 contra L125 | Ajenos: llevar a un grupo equilibrado la decision de devolver o usar material rechazado, contra deducir patrones de la tendencia para dimensionar una plantilla. La senial sale de verbos de decidir y deducir.
dimensionar_inventario_materia_prima_reposicion | preferir_inspeccion_proceso_prueba_destructiva | SANO | alta | cap_02 L67 y L69 | Hermanos: L69 abre con What else could go wrong with our continuous egg-machine y trata el huevo que entra; L67 trata la temperatura que se sale. Inspeccion de recepcion e inventario contra inspeccion dentro del proceso: ninguno usa al otro.
dimensionar_plantilla_administrativa_pronostico | elegir_cinco_indicadores_diarios_fabrica | SANO | media | cap_03 L125 contra L17 a L29 | Comparten pronostico y gente como palabras. El paso 1 de la plantilla elige los indicadores que caracterizan a una unidad ADMINISTRATIVA, que no es el procedimiento de los cinco datos diarios de la fabrica; y los cinco no dimensionan nada. Ninguno despliega una linea del otro.
dimensionar_plantilla_administrativa_pronostico | emparejar_indicadores_efecto_contraefecto | SANO | alta | cap_03 L125 contra L31 | Ajenos: pronosticar la carga y casar la plantilla con ella, contra emparejar un indicador con el de su contraefecto. Comparten indicador como palabra.
dimensionar_plantilla_administrativa_pronostico | simplificar_trabajo_reducir_numero_pasos | SANO | alta | cap_03 L125 contra L169 a L171 | Dos vias distintas de productividad administrativa: ajustar la gente al pronostico de carga, y dibujar el flujo, contar sus pasos y tirar los que sobran. Ninguna usa a la otra.
emparejar_indicadores_efecto_contraefecto | elegir_cinco_indicadores_diarios_fabrica | SANO | media | cap_03 L27 contra L31 | El paso 8 de los cinco (no te quedes en contar unidades, que se puede servir un record y tratar mal al cliente) es la semilla de la idea de emparejar, pero no la procedimenta: no nombra efecto ni contraefecto ni manda vigilar dos a la vez. Y el emparejado no elige los cinco. Lo mas cercano a una arista entre ellos seria esa semilla, y nombrar no es procedimentar. DUDA MIA
rehacer_flujo_paso_limitante_capacidad | preferir_inspeccion_proceso_prueba_destructiva | SANO | alta | cap_02 L51 a L55 contra L67 | Ajenos: rehacer el flujo alrededor de la cola del tostador, contra vigilar la temperatura de la maquina continua. La senial alta (0,46) sale del huevo de tres minutos que se estropea en los dos parrafos, no de un paso comun.
rehacer_flujo_paso_limitante_capacidad | dimensionar_inventario_materia_prima_reposicion | SANO | alta | cap_02 L51 contra L69 | Ajenos: la cola por una maquina ocupada contra la entrega mala del proveedor. Comparten esperar y parar como palabras.
