AVISO: CUERPO_DESDE=8 LEIDO del fichero (segundo cierre "---" del encabezado en L7 de 81 lineas). NINGUNA CELDA TECLEADA.

| pieza | lineas | palabras | que es | clase |
|---|---|---:|---|---|
| `R1` | L9 a L9 | **3** | el rotulo `Call to Action` | **RESIDUO: rotulo** |
| `P1` | L11 a L11 | **37** | la pregunta de apertura dirigida al lector y el primer paso nombrado: caminar la organizacion y escuchar lo bueno, lo malo y lo feo de la gestion de arriba abajo | **NODO, primera mitad** |
| `R2` | L13 a L13 | **17** | la fecha, el sitio y la cuenta atras al relevo | **RESIDUO: rotulo de fecha** |
| `P2` | L15 a L15 | **169** | lo que el procedimiento mandaba revisar, la decision de no hacerlo, y el inventario propio de medios: caminar hablando con la gente, montar recorridos donde cada jefe te ensena sus espacios, y pedir una linterna para inspeccionar | **NODO, segunda mitad** |
| `R3` | L17 a L17 | **63** | que es y para que sirve el camarote de oficiales donde se reune la plana | **RESIDUO: contexto** |
| `P3` | L19 a L21 | **193** | la reunion rutinaria observada por sus senales de plantilla y no por su asunto tecnico: quien llega tarde, el jefe que se queda fuera hasta que estan todos, la reunion que empieza tarde, todos esperando a otro, el ponente a la defensiva y los demas aburridos, con la regla de lectura escrita | **NODO** |
| `P4` | L23 a L27 | **149** | seguir al oficial frustrado a su camarote, nombrarle la frustracion vista, dejarle contar como quiere que funcione lo suyo, y preguntar por cada idea como la implanto | **NODO** |
| `R4` | L29 a L33 | **162** | el diagnostico del modelo de lider a seguidores puesto por el autor, la biografia de Dave, y los otros oficiales que pedian traslado o dimitian | **POSTURA y CASO** |
| `R5` | L35 a L35 | **36** | el modo agachar la cabeza: evitar el error como motor de toda accion y el minimo exigible como techo | **POSTURA** |
| `P5` | L37 a L43 | **219** | el tramite de permiso seguido por su cadena: el manual que dice quien firma, la cadena entera nombrada puesto a puesto, la cuenta de siete, el formulario con cinco lineas de firma, el papel encontrado en una bandeja ajena y el veredicto de que fallo el sistema y no la gente | **NODO** |
| `P6` | L45 a L53 | **415** | el enrutado de la informacion que entra inspeccionado en el acto: el tablero de mensajes con su sello de iniciales, el orden de reparto por protocolo, las notas que el jefe deja escritas, la pregunta que se le hace al subordinado y los dos costes que el subordinado nombra | **NODO** |
| `P7` | L55 a L57 | **242** | la formacion y la ceremonia de premios auditadas desde la ultima fila: los cinco defectos nombrados uno a uno y la prueba de si se oye al jefe desde donde esta la tripulacion | **NODO** |
| `R6` | L59 a L59 | **3** | el separador de seccion | **RESIDUO: separador** |
| `R7` | L61 a L67 | **190** | el inventario de lo que se evita, el rescoldo de ganas, la comparacion con el Olympia y la resolucion personal del autor | **POSTURA y CASO** |
| `R8` | L69 a L69 | **20** | la vuelta al comodoro y el compromiso de desplegar a tiempo | **CASO** |
| `R9` | L71 a L81 | **60** | QUESTIONS TO CONSIDER: las cinco preguntas de cierre | **PENDIENTE DE DOCTRINA, vuelta 25** |
| **el cuerpo entero** | **L8 a L81** | **1978** | **suma de las piezas: 1978** | **residuo sin asignar: 0** |

piezas: 16   lineas solapadas: 0   cuerpo 1978   suma 1978   residuo 0   lineas con palabras sin cubrir: 0 []
