# Vuelta 76, TAREA 2.1: la relectura de fidelidad ENTERA (D.30, D.58) de las 22 fichas de la bandeja de Gerber
# (.v76ext/bandeja.txt), paso a paso contra su capitulo de fuentes/gerber_emyth/, leido entero en esta vuelta. Orden de lectura: cap_13,
# cap_18 y cap_19 primero (los de d111, encargo TAREA 4), despues los demas. Marca: T transcripcion, P puente (entero o de clausula;
# la clausula reescrita CUENTA como P, ACTA 62 62.5). Separador: barra vertical. Formato de .v73ext/fidelidad.tsv, con UNA cosa mas:
# la columna de linea admite cap_NN:LNN cuando el paso cita un capitulo que no es el de la UNIDAD DE ORIGEN de su ficha (encargo
# TAREA 2.1). Las citas van recortadas; la linea la localiza .v76ext/citas.sh, con su salida en .v76ext/citas_fidelidad.txt. Lo
# marcado DISCUTIBLE se marco al escribir la fila, antes de ninguna comprobacion. Los P se marcan sobre el texto de la ficha tal como
# estaba al abrir la vuelta, y se corrigen despues en la ficha (TAREA 2.3).
# id | paso | marca | linea | lo que decide la marca
recorrer_siete_pasos_programa_desarrollo_negocio | 1 | T | L39 | Your Business Development Program is the step-by-step process through which you convert your existing business
recorrer_siete_pasos_programa_desarrollo_negocio | 2 | T | L41 | Your Business Development Program is the vehicle through which you can create your Franchise Prototype
recorrer_siete_pasos_programa_desarrollo_negocio | 3 | T | L43 | The Program is composed of seven distinct steps. La clausula en este orden la sostienen la numeracion 1 a 7 de L45 a L57 y el step-by-step process de L39 (DISCUTIBLE D76.3)
recorrer_siete_pasos_programa_desarrollo_negocio | 4 | T | L45 | 1. Your Primary Aim
recorrer_siete_pasos_programa_desarrollo_negocio | 5 | T | L47 | 2. Your Strategic Objective
recorrer_siete_pasos_programa_desarrollo_negocio | 6 | T | L49 | 3. Your Organizational Strategy
recorrer_siete_pasos_programa_desarrollo_negocio | 7 | T | L51 | 4. Your Management Strategy
recorrer_siete_pasos_programa_desarrollo_negocio | 8 | T | L53 | 5. Your People Strategy
recorrer_siete_pasos_programa_desarrollo_negocio | 9 | T | L55 | 6. Your Marketing Strategy
recorrer_siete_pasos_programa_desarrollo_negocio | 10 | T | L57 | 7. Your Systems Strategy
construir_estrategia_gente_cuatro_componentes | 1 | T | L117 | Your People Strategy is the way you communicate this idea
construir_estrategia_gente_cuatro_componentes | 2 | T | L119 | It starts with your Primary Aim and your Strategic Objective
construir_estrategia_gente_cuatro_componentes | 3 | T | L119 | It starts with your Primary Aim and your Strategic Objective. El Sigue con de la ficha es el and continues through de la misma linea
construir_estrategia_gente_cuatro_componentes | 4 | T | L119 | and continues through your Organizational Strategy (your Organization Chart and the Position Contracts for all of the positions in it). El verbo Construye es verbo de marco sobre el objeto que el libro nombra, la figura de D73.6 (DISCUTIBLE D76.4)
construir_estrategia_gente_cuatro_componentes | 5 | T | L119 | the Operations Manuals that define the work your people do. El verbo Escribe es verbo de marco sobre el objeto que el libro nombra, la figura de D73.6 (DISCUTIBLE D76.4)
aplicar_ocho_reglas_juego_personas | 1 | T | L139 | As in any game, the
aplicar_ocho_reglas_juego_personas | 2 | T | L143 | Never figure out what you want your people to do and then try to create a game out of it
aplicar_ocho_reglas_juego_personas | 3 | T | L145 | Never create a game for your people you’re unwilling to play yourself
aplicar_ocho_reglas_juego_personas | 4 | T | L147 | Make sure there are specific ways of winning the game without ending it. El dale a tu gente victorias de vez en cuando es el Hence, the value of victories now and then de la misma linea puesto de mandato, la figura de D68.4
aplicar_ocho_reglas_juego_personas | 5 | T | L149 | Change the game from time to time, y L151 To know when change is called for, watch your people. Their results will tell you when the game’s all but over. The trick is to anticipate the end before anyone else does and to change it by executive action
aplicar_ocho_reglas_juego_personas | 6 | T | L153 | Never expect the game to be self-sustaining
aplicar_ocho_reglas_juego_personas | 7 | T | L157 | The best games are built on universally verifiable truths, y L159 So wheel out the logic often; el para sostener el compromiso emocional cuando decaiga es el All the logic does is give your people the rational armament to support their emotional commitment. If their commitment wanes de L159
aplicar_ocho_reglas_juego_personas | 8 | P | L163 | But not too often, maybe once every six months. La ficha dice no la repitas mas de una vez cada seis meses: el libro da un quiza (maybe) y la ficha lo vuelve tope firme, la figura de D71.9 (una posibilidad vuelta orden). PUENTE de clausula, se reescribe con el maybe del libro (DISCUTIBLE D76.5)
aplicar_ocho_reglas_juego_personas | 9 | P | L165 | once you steal somebody else’s game, learn it by heart. La clausula antes de jugarlo con tu gente no esta en el libro, que da la razon There’s nothing worse than pretending to play a game y no pone el momento. PUENTE de clausula, se reescribe con la razon del libro (DISCUTIBLE D76.5)
aplicar_cinco_pasos_proceso_contratacion | 1 | T | L249 | A scripted presentation communicating the Boss’s idea in a group meeting to all of the applicants at the same time
aplicar_cinco_pasos_proceso_contratacion | 2 | T | L251 | Meeting with each applicant individually to discuss his reactions to and feelings about the idea
aplicar_cinco_pasos_proceso_contratacion | 3 | T | L253 | Notification of the successful candidate by telephone
aplicar_cinco_pasos_proceso_contratacion | 4 | T | L255 | Notification of the unsuccessful applicants, thanking each for his interest
