# ARISTAS POR LECTURA (D.29) DE LA VUELTA 64: las que la senial NO levanta en ningun sentido entre los 22 de
# cap_02 y cap_03 (.v64ext/matriz22_*.txt y .v64ext/pares_despues.txt), mas la de d141 que HOY si levanta.
# Formato: SOSTENGO o NO SOSTENGO | madre | hijo | paso de la madre y paso del hijo | linea del libro | razon
# Se cablean en el acto de insertar el hijo, con la madre ya en el grafo: python forja.py arista --madre --hijo --paso --razon.
SOSTENGO | elegir_indicador_salida_trabajo_administrativo | dimensionar_plantilla_administrativa_pronostico | madre pasos 1 a 7, hijo paso 1 | cap_03 L125 | El paso 1 del hijo, elige con cuidado los indicadores que caracterizan a la unidad administrativa, nombra en una linea el procedimiento que la madre despliega en siete pasos, y el hijo sigue donde ella acaba con los suyos (pasos 2 a 7). Dependencia de proceso, como el ejemplar de D.29. La senial no lo levanta en ningun sentido.
SOSTENGO | construir_indicador_tendencia_patron | dimensionar_plantilla_administrativa_pronostico | madre pasos 2 a 4, hijo paso 2 | cap_03 L125 | El paso 2 del hijo deduce patrones de hecho de los datos de tendencia, que son el producto de la madre. HOY LA SENIAL LO LEVANTA en los dos sentidos tras la correccion de la madre, asi que ademas de aqui va en los dos bloques de VEREDICTOS LISTOS como CONTINUA.
SOSTENGO | elegir_fabricar_pedido_pronostico | casar_flujo_fabricacion_flujo_ventas | madre pasos 4 a 7, hijo paso 1 | cap_03 L111 | El hijo empieza donde la madre decide fabricar contra pronostico: su paso 1 trata la entrega de un producto fabricado contra pronostico, que es la via que la madre elige y asume en sus pasos 4 a 7, y anade los dos flujos, los dos pronosticos, la holgura en inventario y el grafico escalonado (pasos 2 a 12).
SOSTENGO | construir_grafico_escalonado_pronosticos | casar_flujo_fabricacion_flujo_ventas | madre pasos 1 a 8, hijo paso 12 | cap_03 L121 | L121 dice As noted y remite al grafico de L91 a L97; el paso 12 del hijo usa el procedimiento de la madre en los dos pronosticos, el de fabricacion y el de ventas, con su proposito propio: acotar las causas de inexactitud. Nombrar no es procedimentar decide si una linea cuenta como despliegue, y aqui nadie la cuenta asi: la arista dice que el hijo usa a la madre, como verificar_afirmaciones usa a formular_codigo en el ejemplar de D.29 (DISCUTIBLE D64.6).
SOSTENGO | representar_actividad_caja_negra_ventanas | construir_indicador_linealidad_alerta_temprana | madre paso 8, hijo paso 2 | cap_03 L83 | El paso 2 del hijo, recorta en tu caja esta ventana concreta, el indicador de linealidad, es una de las ventanas que el paso 8 de la madre manda recortar; L83 dice a window cut into the black box is the linearity indicator. El hijo anade la recta ideal, el trazado, la lectura a media carrera y la accion correctora.
SOSTENGO | representar_actividad_caja_negra_ventanas | construir_indicador_tendencia_patron | madre paso 8, hijo paso 1 | cap_03 L89 | El paso 1 del hijo, monta el indicador de tendencia, que es otra ventana recortada en tu caja, es otra de las ventanas del paso 8 de la madre; L89 dice This extrapolation gives us another window in our black box. Mia y no de la apertura sellada (DISCUTIBLE D64.7).
SOSTENGO | dimensionar_inventario_materia_prima_reposicion | decidir_aceptar_rechazar_material_defectuoso | madre paso 3, hijo paso 1 | cap_03 L135 | La madre cierra el rechazo en la inspeccion de recepcion con una sola salida, devuelve el material (paso 3, cap_02 L69); el paso 1 del hijo abre ahi mismo la decision con dos salidas, devolver o usar lo que no llega, y anade el grupo equilibrado que la toma y la regla de fiabilidad (pasos 2 a 8). L135 empieza When material is rejected at incoming inspection. Leido despues de abrir la apertura sellada.
SOSTENGO | rehacer_flujo_paso_limitante_capacidad | equilibrar_capacidad_personal_inventario_plazo | madre pasos 2 a 4, hijo paso 1 | cap_02 L57 | El hijo sigue donde la madre acaba: con el flujo rehecho alrededor de la cola del tostador, L57 complica el mismo caso (stuck in line waiting for a toaster when it is time to start boiling your egg), y el paso 1 del hijo es ese choque; el hijo anade las cuatro salidas con su coste y el intercambio de equipo, personal e inventario contra el plazo (pasos 2 a 8). Leido despues de abrir la apertura sellada, que lo daba con confianza media.
NO SOSTENGO | elegir_fabricar_pedido_pronostico | dimensionar_plantilla_administrativa_pronostico | hijo paso 4 | cap_03 L123 | El paso 4 del hijo pronostica la carga y ajusta la salida, pero la madre no ensena a pronosticar: elige entre dos vias de fabricar. Es la idea comun de fabricar contra pronostico, no un procedimiento que el hijo use. Va SANO en el bloque de dimensionar_plantilla, porque ese sentido la senial si lo levanta.
NO SOSTENGO | detectar_arreglar_fallo_etapa_menor_valor | casar_flujo_fabricacion_flujo_ventas | hijo paso 11 | cap_03 L119 | El paso 11 del hijo guarda el inventario en la etapa de menor valor; la regla de la madre es detectar y arreglar fallos en esa etapa. Son dos consecuencias distintas del mismo principio del valor anadido (cap_02 L73), y ninguna usa a la otra. SANO, como la apertura sellada, aunque ella lo cierra por nombrar no es procedimentar.
NO SOSTENGO | elegir_cinco_indicadores_diarios_fabrica | construir_indicador_linealidad_alerta_temprana | hijo paso 1 | cap_03 L83 | El paso 1 del hijo cuenta como adelantados los controles diarios que ya usas, pero no ejecuta el procedimiento de elegir los cinco: los reclasifica. SANO.
NO SOSTENGO | representar_actividad_caja_negra_ventanas | construir_grafico_escalonado_pronosticos | ninguno | cap_03 L91 | L91 presenta el escalonado como otra manera de anticipar el futuro, no como ventana de la caja, y ningun paso del escalonado nombra la caja. SANO.
NO SOSTENGO | elegir_inspeccion_barrera_monitorizacion | variar_frecuencia_inspeccion_nivel_calidad | ninguno | cap_03 L143 | Hermanos: L143 dice Another way to lower the cost of quality assurance, y ninguno usa al otro. SANO, como la apertura sellada.
