id	paso	clase	capitulo	linea	lectura
aplicar_cinco_pasos_proceso_contratacion	1	T	cap_18	L249	A scripted presentation communicating the Boss's idea in a group meeting to all of the applicants at the same time ... history and experience ... attributes required
aplicar_cinco_pasos_proceso_contratacion	2	T	cap_18	L251	Meeting with each applicant individually to discuss his reactions to and feelings about the idea ... why he felt he was superbly appropriate for the role
aplicar_cinco_pasos_proceso_contratacion	3	T	cap_18	L253	Notification of the successful candidate by telephone. Again, a scripted presentation
aplicar_cinco_pasos_proceso_contratacion	4	T	cap_18	L255	Notification of the unsuccessful applicants, thanking each for his interest. A standard letter, signed by the interviewer
aplicar_cinco_pasos_proceso_contratacion	5	T	cap_18	L257	First day of training to include the following activities for both the Boss and the new employee
aplicar_cinco_pasos_proceso_contratacion	6	T	cap_18	L259	Reviewing the Boss's idea
aplicar_cinco_pasos_proceso_contratacion	7	T	cap_18	L261	Summarizing the system through which the entire business brings the idea to reality
aplicar_cinco_pasos_proceso_contratacion	8	T	cap_18	L263	Taking the new employee on a tour of the facilities, highlighting people at work and systems at work to demonstrate the interdependence
aplicar_cinco_pasos_proceso_contratacion	9	T	cap_18	L265	Answering clearly and fully all the employee's questions
aplicar_cinco_pasos_proceso_contratacion	10	T	cap_18	L267	Issuing the employee his uniform and his Operations Manual
aplicar_cinco_pasos_proceso_contratacion	11	T	cap_18	L269	Reviewing the Operations Manual, including the Strategic Objective, the Organizational Strategy, and the Position Contract
aplicar_cinco_pasos_proceso_contratacion	12	T	cap_18	L271	Completing the employment papers
aplicar_ocho_reglas_juego_personas	1	T	cap_18	L139	the people game has rules that must be honored if you are to become any good at it
aplicar_ocho_reglas_juego_personas	2	T	cap_18	L143	Never figure out what you want your people to do and then try to create a game out of it ... the game has to come first
aplicar_ocho_reglas_juego_personas	3	T	cap_18	L145	Never create a game for your people you're unwilling to play yourself. They'll find you out and never let you forget it
aplicar_ocho_reglas_juego_personas	4	T	cap_18	L147	Make sure there are specific ways of winning the game without ending it ... the value of victories now and then
aplicar_ocho_reglas_juego_personas	5	T	cap_18	L149	Change the game from time to time, the tactics, not the strategy; L151 watch your people ... anticipate the end before anyone else does and change it by executive action
aplicar_ocho_reglas_juego_personas	6	T	cap_18	L153	Never expect the game to be self-sustaining ... At least once a week, create a special meeting ... At least once a day, make some kind of issue about an exception
aplicar_ocho_reglas_juego_personas	7	T	cap_18	L157	The game has to make sense ... built on universally verifiable truths; L159 If their commitment wanes ... wheel out the logic often
aplicar_ocho_reglas_juego_personas	8	T	cap_18	L161	The game needs to be fun from time to time; L163 fun needs to be planned ... defined by your people ... maybe once every six months. Something to look forward to
aplicar_ocho_reglas_juego_personas	9	T	cap_18	L165	If you can't think of a good game, steal one ... learn it by heart. There's nothing worse than pretending to play a game
aplicar_seis_pasos_sistema_venta	1	T	cap_19	L143	Identification of the specific Benchmarks, or consumer decision points, in your selling process
aplicar_seis_pasos_sistema_venta	2	T	cap_19	L145	The literal scripting of the words that will get you to each one successfully (yes, written down like the script for a play!)
aplicar_seis_pasos_sistema_venta	3	T	cap_19	L147	The creation of the various materials to be used with each script
aplicar_seis_pasos_sistema_venta	4	T	cap_19	L149	The memorization of each Benchmark's script
aplicar_seis_pasos_sistema_venta	5	T	cap_19	L151	The delivery of each script by your salespeople in identical fashion
aplicar_seis_pasos_sistema_venta	6	T	cap_19	L153	Leaving your people to communicate more effectively, by articulating, watching, listening, hearing, acknowledging, understanding, and engaging each and every prospect as fully as he needs to be
cambiar_saludo_cliente_dos_ramas	1	T	cap_12	L51	Instead of asking, Hi, may I help you? try Hi, have you been in here before?
cambiar_saludo_cliente_dos_ramas	2	T	cap_12	L53	If the answer is yes, you can say, Great. We've created a special new program for people who have shopped here before
cambiar_saludo_cliente_dos_ramas	3	T	cap_12	L55	If the answer is no, you can say, Great, we've created a special new program for people who haven't shopped here before
cambiar_saludo_cliente_dos_ramas	4	T	cap_12	L57	Of course, you'll have to have created a special new program to talk about in either case
construir_empresa_plantilla_vision_diaria	1	T	cap_08	L39	The first reason is that, at the very beginning, I had a very clear picture of what the company would look like when it was finally done ... a model in my mind
construir_empresa_plantilla_vision_diaria	2	T	cap_08	L41	once I had that picture, I then asked myself how a company which looked like that would have to act. I then created a picture of how IBM would act
construir_empresa_plantilla_vision_diaria	3	T	cap_08	L43	unless we began to act that way from the very beginning, we would never get there
construir_empresa_plantilla_vision_diaria	4	T	cap_08	L45	it would have to act like a great company long before it ever became one
construir_empresa_plantilla_vision_diaria	5	T	cap_08	L47	From the very outset, IBM was fashioned after the template of my vision. And each and every day we attempted to model the company after that template
construir_empresa_plantilla_vision_diaria	6	T	cap_08	L47	At the end of each day, we asked ourselves how well we did, discovered the disparity between where we were and where we had committed ourselves to be
construir_empresa_plantilla_vision_diaria	7	T	cap_08	L47	and, at the start of the following day, set out to make up for the difference
construir_empresa_plantilla_vision_diaria	8	T	cap_08	L49	Every day at IBM was a day devoted to business development, not doing business; L51 We didn't do business at IBM, we built one
construir_estrategia_gente_cuatro_componentes	1	T	cap_18	L117	Your People Strategy is the way you communicate this idea
construir_estrategia_gente_cuatro_componentes	2	T	cap_18	L119	It starts with your Primary Aim
construir_estrategia_gente_cuatro_componentes	3	T	cap_18	L119	and your Strategic Objective
construir_estrategia_gente_cuatro_componentes	4	T	cap_18	L119	and continues through your Organizational Strategy (your Organization Chart and the Position Contracts for all of the positions in it)
construir_estrategia_gente_cuatro_componentes	5	T	cap_18	L119	and the Operations Manuals that define the work your people do
cuantificar_impacto_innovacion_6_pasos	1	T	cap_12	L95	(1) determining how many people came in the door before the Innovation was put into effect
cuantificar_impacto_innovacion_6_pasos	2	T	cap_12	L95	(2) determining how many people bought products and what the dollar value of those products were before you changed the words
cuantificar_impacto_innovacion_6_pasos	3	T	cap_12	L95	(3) counting the number of people who came in the door after you changed the words
cuantificar_impacto_innovacion_6_pasos	4	D	cap_12	L95	(4) counting the number of people who purchased something: el libro no le pone despues del cambio a este punto; lo pone el (3) de al lado, y el paso lo arrastra. Me inclino a T por la serie
cuantificar_impacto_innovacion_6_pasos	5	T	cap_12	L95	(5) determining the average unit value of a sale
cuantificar_impacto_innovacion_6_pasos	6	T	cap_12	L95	(6) determining what the improvement was as a result of your Innovation
dar_valor_constante_cuatro_publicos	1	T	cap_11	L63	I would suggest that value is what people perceive it to be, and nothing more
dar_valor_constante_cuatro_publicos	2	T	cap_11	L65	what could your Prototype do that would not only provide consistent value ... but would provide it beyond their wildest expectations? L67 That is the question every Entrepreneur must ask
dar_valor_constante_cuatro_publicos	3	T	cap_11	L71	It is in the understanding of value, as it impacts every person with whom your business comes into contact, that every extraordinary business lives
dar_valor_constante_cuatro_publicos	4	T	cap_11	L73	Value can be a word said at the door of the business as a customer leaves
dar_valor_constante_cuatro_publicos	5	T	cap_11	L75	Value can be an unexpected gift from the business arriving in the mail
dar_valor_constante_cuatro_publicos	6	T	cap_11	L77	Value can be a word of recognition to a new recruit for a job well done, or ... to a seasoned salesperson who's been successful for years
dar_valor_constante_cuatro_publicos	7	T	cap_11	L79	Value can be the reasonable price of your products, or the dedication you show in the process of explaining them to a customer who needs more help than usual
dar_valor_constante_cuatro_publicos	8	T	cap_11	L81	Value can be a simple word of thanks to your banker for his conscientiousness
dictar_ritmo_crecimiento_preguntas_escritas	1	T	cap_07	L279	dictate your business's rate of growth ... by understanding the key processes that need to be performed
dictar_ritmo_crecimiento_preguntas_escritas	2	T	cap_07	L279	the key objectives that need to be achieved
